		2021-11-18	2021-12-09	2022-01-04	2022-01-21	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-07	2023-03-17	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-19	2024-08-16	2024-09-03	2024-10-14	2024-11-14
lawn mower repairs clayton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	3	2	2	3	4	2	2	2	2	1	2	1	1	1	1	5	3
lawn mower repairs malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	3	2	2	1	1	1	1	3	2	1	1	2	2	2	4
lawn mower repairs mentone		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	2	2	2	2	3	3	2	2	2	2	2	2	2	1	1	1	1	1	2
lawn mower repairs moorabbin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2
lawn mower repairs mulgrave		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2
lawn mower repairs patterson lakes		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lawn mower repairs oakleigh		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lawn mower repairs seaford		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	2	3	3	3	3	3	2	1	1	1	2	1	2	2	2
lawn mower bayside		3	3	3	2	2	2	2	3	2	2	2	2	2	2	2	2	3	2	1	2	5	5	3	3	2	3	4	5	4	3	4	2	3	2	2	2	2	2	2
lawn mower beaumaris		3	3	3	4	4	3	1	2	7	5	3	3	3	4	4	3	2	1	1	2	1	1	2	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
lawn mower bentleigh		4	4	5	4	5	10	7	4	6	3	3	4	6	8	7	8	5	7	3	3	1	1	1	1	1	1	2	1	1	1	2	1	4	1	1	2	1	1	1
lawn mower carrum downs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lawn mower caulfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	2	2	-	13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
lawn mower cheltenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
lawn mower clayton		2	1	3	1	1	1	2	1	1	1	1	1	1	1	1	1	2	2	2	3	4	5	7	5	5	6	7	2	2	2	3	3	2	2	2	1	2	2	2
lawn mower cranbourne		6	7	10	10	11	11	10	10	12	8	10	10	10	9	5	6	4	5	5	5	2	3	5	3	2	3	3	2	2	2	2	2	2	2	2	2	2	4	2
lawn mower dandenong		2	2	2	2	2	1	2	2	2	2	2	2	2	2	3	3	3	2	3	2	2	4	3	4	3	3	3	2	3	2	3	2	2	2	1	1	2	1	3
lawn mower frankston		2	3	4	4	6	2	2	1	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2
lawn mower hampton		5	6	4	4	4	3	4	3	4	6	6	5	8	8	6	5	6	5	8	8	7	8	6	6	7	7	5	3	4	6	7	6	7	3	3	3	3	2	2
