		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-17	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-15	2024-08-26	2024-09-20	2024-10-18	2024-11-14
blocked drain werribee		2	2	1	1	1	2	2	3	3	2	1	1	1	1	1	2	1	2	1	2	2	2	1	2	2	2	5	4	3	3	2	2	3	3	3	2	2
blocked sewer box hill		2	2	2	2	2	2	3	5	5	4	7	6	3	3	4	5	4	3	3	3	3	6	5	4	5	5	4	5	4	4	4	4	2	3	4	3	1
blocked sewer camberwell		1	1	1	1	1	1	1	1	1	2	1	2	1	1	3	2	2	3	2	2	3	5	3	3	4	4	3	3	5	4	4	4	3	4	4	3	4
blocked sewer eltham		1	1	1	2	1	1	1	2	3	9	3	3	2	2	1	1	1	2	2	1	3	2	2	2	2	2	1	1	1	1	1	1	1	1	1	10	1
blocked sewer kew		1	1	1	1	1	1	1	3	4	3	4	4	5	3	4	4	5	5	5	4	7	6	2	6	8	7	6	8	7	6	3	3	2	3	3	1	5
blocked sewer ringwood		2	1	1	2	2	1	1	2	2	2	2	2	2	1	3	3	2	3	3	3	5	5	4	4	4	5	4	4	3	5	4	4	6	8	5	5	3
blocked storm water camberwell		1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2	1	2	1	2	1	1	1	2	1	1	1	1	2	2	2	4	3	2	3
blocked storm water croydon		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	2	2	2	2	2	2	1	2	2	2	2	2	1	2	1	2
blocked storm water endeavour hills		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blocked storm water ferntree gully		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blocked storm water pakenham		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1
blocked storm water ringwood		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	4	2	2	1	1	1	1	2	2	1	5	2
blocked drains brisbane		9	8	7	6	7	7	7	6	6	6	7	7	7	11	9	8	12	15	13	15	13	17	37	35	32	36	38	40	30	33	34	25	19	28	28	35	21
blocked drains gold coast		4	5	6	6	4	3	-	5	5	4	6	7	8	7	9	9	10	11	10	11	11	12	24	26	39	27	21	33	19	21	19	31	27	28	30	35	35
drain relining brisbane		18	19	24	19	18	15	17	18	16	18	18	16	20	18	20	22	25	24	25	23	18	18	19	20	24	24	28	21	19	49	31	24	29	39	29	26	24
drain relining gold coast		11	11	22	11	10	14	11	9	9	12	10	10	10	11	11	11	12	12	13	12	15	16	15	16	21	20	32	19	20	18	17	17	17	16	14	14	14
drainage solutions brisbane		39	47	76	-	63	34	36	36	30	35	32	32	33	39	-	-	-	57	-	60	-	-	-	-	-	-	89	-	76	75	94	86	-	98	96	-	-
unblock drain gold coast		2	4	6	4	2	2	3	4	2	3	4	4	7	5	7	8	6	9	9	10	10	9	11	16	20	19	14	15	17	16	16	26	21	31	14	12	13
unblock drains brisbane		5	6	6	6	6	6	5	6	6	6	6	6	6	6	6	6	8	8	8	8	9	14	23	30	23	27	15	19	16	16	18	20	19	19	16	17	16
unblock toilet gold coast		10	11	20	19	14	13	13	14	13	27	18	17	18	18	23	25	9	11	10	11	20	16	19	23	23	19	17	28	27	32	23	33	22	24	22	17	18
blocked drain ashmore		1	1	1	1	1	1	1	4	4	12	1	1	1	1	6	6	3	4	2	5	6	11	9	12	13	12	11	3	1	1	1	1	1	1	1	2	3
blocked drain biggera waters		1	1	2	2	1	3	2	3	5	4	3	5	4	5	3	4	4	6	9	7	9	9	12	6	7	6	3	3	1	1	1	1	1	1	1	1	2
blocked drain bundall		3	3	4	2	2	3	3	3	5	5	2	2	4	3	2	2	4	3	3	2	6	5	3	16	2	2	2	2	2	2	2	2	3	2	2	2	2
blocked drain coolangatta		4	4	4	5	4	5	18	7	4	5	1	1	18	17	23	22	23	24	3	20	16	12	23	19	15	6	7	8	7	7	7	6	5	6	4	8	9
blocked drain coomera		6	6	8	4	5	6	6	7	31	7	6	8	7	9	9	8	8	14	11	12	8	8	11	10	8	11	6	8	9	10	9	7	7	8	8	8	9
blocked drain helensvale		2	2	3	2	3	5	5	8	8	6	7	6	7	6	7	9	11	48	10	13	20	14	12	22	23	22	9	10	8	16	3	5	5	4	5	10	6
blocked drain ormeau		5	4	4	6	5	4	6	8	8	7	6	6	7	7	7	6	10	13	12	14	17	15	17	14	14	17	6	8	8	2	2	4	3	3	3	2	1
blocked drain palm beach		1	5	6	6	6	5	4	5	5	4	4	4	2	2	3	3	2	4	5	6	7	4	4	4	3	6	2	2	3	4	4	2	2	1	1	1	3
blocked drain reedy creek		6	7	13	6	9	12	8	4	1	1	1	1	2	1	2	1	3	3	3	3	3	3	4	2	3	3	2	3	2	3	3	1	1	1	1	3	1
blocked drain runaway bay		4	4	3	3	2	2	2	3	37	4	3	3	4	4	37	35	34	35	4	5	19	45	41	3	3	41	2	2	2	8	4	4	3	3	2	4	6
blocked drain southport		3	3	9	6	5	7	7	6	5	8	6	7	6	6	7	7	7	8	7	8	13	12	15	33	41	10	10	8	6	9	10	8	18	9	2	17	7
blocked drain surfers paradise		4	3	7	4	3	3	2	9	5	5	5	4	4	5	5	42	31	9	29	34	23	12	31	25	27	7	5	7	5	5	5	5	4	3	3	7	6
blocked drain tugun		3	3	2	3	4	5	3	8	7	6	4	6	4	4	4	4	6	7	25	6	8	8	10	13	6	4	4	2	1	2	2	2	2	3	3	3	2
drain cleaning ashmore		1	1	1	1	1	1	1	6	1	1	7	8	1	6	8	6	4	2	3	1	1	1	2	2	17	5	6	7	6	5	6	3	4	9	9	8	10
drain cleaning bonogin		1	1	16	1	1	1	1	1	10	3	3	2	12	1	16	19	13	18	3	1	2	3	23	1	1	1	1	1	1	1	1	1	1	1	1	4	3
drain cleaning currumbin waters		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2
drain cleaning nerang		1	1	1	1	1	2	2	2	3	4	2	2	2	2	2	2	3	2	3	46	33	35	36	1	1	2	1	1	1	1	1	1	1	3	3	4	6
drain cleaning runaway bay		23	4	3	4	2	3	3	5	38	5	5	5	4	3	33	35	34	38	2	34	34	40	37	2	2	39	2	2	5	8	6	5	5	5	5	5	5
blocked drain mermaid waters		2	1	1	49	1	1	2	43	40	2	1	1	43	1	41	42	39	4	4	4	5	-	9	16	15	4	3	3	3	2	3	2	1	1	1	3	1
drain cleaning oxenford		1	1	1	1	1	1	1	2	25	2	1	17	17	19	2	2	3	3	3	34	32	2	2	3	4	4	2	2	2	2	1	2	2	2	2	7	5
blocked sewer brisbane		6	6	7	7	6	7	8	8	7	7	8	7	7	8	6	7	9	8	10	9	11	12	26	33	27	23	25	30	24	27	26	18	22	32	21	17	22
blocked stormwater drain brisbane		6	8	7	6	6	6	6	7	7	7	10	9	9	8	8	9	12	12	12	11	11	11	26	33	31	25	27	28	21	24	22	28	31	36	32	49	45
blocked stormwater drains melbourne		5	3	3	3	2	4	3	3	3	3	4	4	3	5	3	4	3	4	3	2	4	3	5	5	3	3	3	4	3	3	3	4	5	3	4	3	5
blocked toilet brisbane		7	10	12	9	10	12	13	13	11	13	13	13	13	12	12	13	-	12	11	14	17	38	47	59	24	70	39	31	25	27	17	25	25	24	26	32	32
blocked toilet melbourne		6	7	8	8	7	8	9	8	10	11	11	11	13	12	10	18	10	15	6	10	27	25	28	18	17	10	9	11	10	11	11	13	13	19	23	20	12
drain cleaning brisbane		12	29	74	79	71	11	69	12	12	51	14	11	10	12	16	16	23	24	16	12	22	37	36	39	33	40	57	56	50	56	77	82	79	75	82	75	87
drain relining melbourne		2	3	4	2	2	4	4	5	5	5	7	7	5	5	8	8	7	6	4	6	7	7	7	7	7	7	23	18	17	19	21	14	63	59	67	48	47
drain repair melbourne		8	6	7	7	6	6	8	7	7	12	9	10	5	6	5	6	5	5	5	3	4	4	9	9	8	13	25	11	10	13	14	11	29	37	28	31	18
sewer cleaning brisbane		15	22	29	23	21	13	13	16	16	14	18	16	16	16	58	60	57	65	51	53	53	36	32	46	-	36	36	37	43	63	78	66	78	75	76	77	79
blocked drain albert park		53	2	5	4	3	3	4	6	4	7	8	6	8	7	9	7	7	10	7	11	11	15	13	12	12	7	8	8	9	9	5	4	4	5	4	6	4
blocked drains balwyn		7	7	11	6	7	7	8	10	7	-	60	-	60	6	53	58	-	-	-	4	13	5	8	4	6	11	6	8	8	9	8	9	5	9	6	9	11
blocked drains berwick		5	3	1	3	3	3	3	4	3	4	3	3	3	2	4	5	6	4	4	5	6	3	2	4	4	8	5	7	6	6	6	7	6	7	8	18	15
blocked drains croydon		2	2	2	2	2	2	2	3	3	4	3	4	4	3	6	5	7	6	7	7	7	8	7	6	6	5	5	5	6	3	2	2	3	4	3	2	2
blocked drains doncaster		4	7	8	7	8	8	2	1	3	3	3	2	6	6	5	4	7	8	6	7	10	9	9	9	7	11	10	9	7	7	7	6	7	6	9	-	8
blocked drains eltham		1	1	3	3	3	1	1	3	3	3	4	4	4	4	3	3	12	3	2	2	4	3	2	2	2	2	1	1	3	3	1	3	2	4	1	-	4
blocked drains ferntree gully		2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	3	3	6	5	5	3	3	2	2	1	1	1	1	1	1	1	1	1	2	1	3
blocked drains glen iris		6	4	27	7	6	4	4	3	85	16	4	4	-	-	79	-	-	-	-	83	46	37	36	40	8	37	8	8	6	6	9	8	7	6	8	9	10
blocked drains glen waverley		1	2	1	5	2	2	1	-	1	1	2	2	1	2	2	2	2	3	5	5	4	5	4	4	3	5	5	5	5	6	9	8	12	14	9	7	7
blocked drains hawthorn		8	7	69	6	6	81	83	10	8	9	9	9	9	7	-	-	-	-	13	19	22	22	70	69	78	69	9	11	8	11	9	10	8	12	12	4	6
blocked drains langwarrin		3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	5	3	4	4	3	2	4	3	4	4	3	2	3	2	1	1	1	1	3	2
blocked drains malvern		2	3	3	3	3	3	2	2	6	5	7	7	8	8	9	8	10	-	-	-	8	14	11	7	9	12	11	15	12	9	9	9	7	10	5	4	5
