		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-11	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-13	2023-08-17	2023-09-15	2023-10-20	2023-11-06	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Kitchens Coburg		14	11	14	12	12	13	15	15	13	14	11	7	7	7	6	3	2	2	3	5	3	3	4	7	7	7	5	6	6	5	9	7	5	5	4	4	4
Kitchens Brunswick		16	15	12	13	20	12	11	9	9	10	10	9	7	7	7	6	6	5	5	4	5	4	7	5	6	7	6	6	5	6	7	7	9	10	11	11	9
Kitchens Essendon		16	19	24	32	15	13	13	13	13	13	14	14	14	11	12	13	12	10	19	17	14	23	21	23	17	19	16	16	19	15	16	14	13	14	12	12	11
Kitchens Airport west		10	10	7	8	8	7	7	7	5	6	3	3	4	3	2	2	2	2	3	2	2	2	2	2	3	2	2	2	1	2	3	2	2	2	1	1	2
Kitchens Thornbury		11	9	11	9	9	10	7	9	9	12	6	5	6	6	7	7	6	8	6	6	6	6	5	9	8	5	5	6	4	3	5	3	1	2	19	-	1
Kitchens Northcote		12	12	12	20	15	11	11	10	10	11	10	10	8	8	6	7	7	9	7	7	6	6	6	7	6	4	2	2	2	2	2	2	2	3	3	2	2
Kitchens Keilor		15	17	12	20	13	10	9	9	10	9	9	8	10	8	9	8	7	9	10	11	10	9	3	5	3	3	5	2	4	4	3	3	4	2	3	4	4
Kitchens Kew		25	13	10	24	29	15	13	14	14	15	12	8	9	9	8	10	7	10	12	12	17	12	11	16	21	23	22	21	15	25	24	19	16	10	14	16	10
Kitchens Balwyn		12	12	11	12	11	10	9	8	8	9	8	7	8	7	8	7	8	8	9	10	10	11	13	15	16	14	15	14	11	16	14	14	13	7	8	7	9
Kitchens Maribyrnong		14	14	8	8	8	8	8	7	7	6	2	1	2	1	1	2	2	2	2	4	4	3	3	4	3	3	3	3	3	3	3	3	3	3	3	4	4
Kitchens Ivanhoe		15	14	19	23	10	10	9	8	5	8	8	11	10	6	4	5	7	6	6	6	6	7	6	6	6	5	5	6	4	7	7	4	5	3	4	7	9
Wardrobes Preston		7	7	7	6	5	5	5	3	2	2	2	1	1	1	1	1	1	1	1	3	3	4	4	3	2	3	2	2	2	2	2	2	2	2	1	2	2
Wardrobes Coburg		9	6	7	5	4	4	4	3	3	4	2	2	3	2	2	2	2	2	2	2	3	2	3	3	3	2	2	4	7	3	3	3	2	1	1	1	1
Wardrobes Brunswick		6	5	4	5	4	3	3	3	3	3	2	2	3	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	16	1
Wardrobes Essendon		8	6	5	6	6	5	3	3	4	6	3	3	2	3	4	2	3	2	3	2	2	2	2	2	2	2	1	1	1	1	1	15	1	2	1	2	2
Wardrobes Airport west		11	9	4	4	3	3	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	2	1	1	1	2	1	1	1	1	2	2
Wardrobes Thornbury		6	4	8	4	3	3	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	4	4	3	2	1	1	1	1	1	1	1	1	1	1
Wardrobes Northcote		4	3	3	4	3	2	2	2	2	2	2	2	1	1	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1
Wardrobes Keilor		10	12	13	16	15	5	3	3	5	5	5	3	3	5	5	3	4	4	7	7	7	4	5	5	6	3	4	2	5	6	3	6	7	1	4	3	1
Wardrobes Kew		5	5	5	4	4	4	4	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	1	1	1	1	2	1	1	2	1
Wardrobes Balwyn		2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	1	1	1	1	1	2	1	1	1	1	1	1
Wardrobes Maribyrnong		3	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Wardrobes Ivanhoe		6	5	6	5	6	4	6	6	5	3	5	5	5	3	2	3	3	2	2	2	3	2	3	2	2	2	2	1	1	2	2	2	1	1	1	1	1
cabinet makers bentleigh		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	8	7	3	3	4	4	4	4	4	3	3	3	2
cabinet makers brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	71	9	6	6	5	6	7	7	3	8	4	4	5	4
cabinet makers bundoora		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	5	5	5	4	4	4	4	5	5	2	2	2	2
cabinet makers caroline springs		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54	-	5	13	6	5	2	2	1	1	1	1	1	1	1	1	1
cabinet makers epping		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	26	12	12	10	4	5	5	4	4	3	2	3	4	5
cabinet makers reservoir		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	29	8	4	5	5	3	3	4	3	5	5	3	4	7
