		2022-08-26	2022-09-16	2022-10-13	2022-10-19	2022-11-17	2022-12-05	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-10	2023-09-15	2023-10-20	2023-11-09	2023-12-14	2024-01-19	2024-02-15	2024-03-12	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
janome memory craft australia		-	-	-	-	-	-	-	-	-	-	-	-	-	14	12	14	9	11	9	8	7	7	6	6	8	9	5	2	4
janome memory craft sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	2	1	1	2	2	1	1	2	2	2	2	1	1	1
janome memory craft melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	4	2	4	3	2	2	2	2	3	4	2	2	3	2	3	-
janome memory craft perth		-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	9	7	4	5	4	3	4	3	3	4	6	3	2	3
janome memory craft adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	6	5	5	5	4	3	3	4	3	3	5	3	3	4
janome memory craft hobart		-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	3	3	3	2	3	2	3	3	2	2	1	2	1
janome memory craft brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	6	3	3	2	2	2	3	4	5	5	4	4	5	5
janome memory craft geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	4	4	4	4	3	3	2	3	2	2	2	2	2	1
janome sewing machines sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	7	8	7	7	6	5	5	5	5	6	6	5	5	5	4	6
janome sewing machines perth		-	-	-	-	-	-	-	-	-	-	-	-	-	27	17	19	19	12	9	11	13	13	15	10	12	9	11	13	12
janome sewing machines adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	10	10	9	9	12	12	9	8	6	7	5	8	5	7	6	7
janome sewing machines hobart		-	-	-	-	-	-	-	-	-	-	-	-	-	31	12	7	7	7	5	5	5	3	3	2	3	3	3	3	3
janome sewing machines brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	16	16	9	8	10	5	5	6	10	8	4	6	7	5	7	8
janome sewing machines geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	12	8	6	6	7	7	6	4	3	4	4	3	3	3	3	4
elna sewing machines australia		-	-	-	-	-	-	-	-	-	-	-	-	-	11	11	10	6	6	6	6	6	5	5	5	7	5	4	2	3
elna sewing machines sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	8	7	7	7	6	5	5	5	2	3	5	4	3	2	1	2
elna sewing machines melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	9	7	8	5	6	6	4	2	2	2	4	5	3	2	2	2
elna sewing machines perth		-	-	-	-	-	-	-	-	-	-	-	-	-	23	13	9	7	6	8	7	5	3	4	3	4	5	4	2	3
elna sewing machines adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	14	19	5	3	3	3	2	2	2	2	1	1	2	1	1	1
elna sewing machines hobart		-	-	-	-	-	-	-	-	-	-	-	-	-	12	9	4	4	3	3	2	3	2	4	3	2	2	3	2	3
elna sewing machines brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	13	14	10	9	9	8	5	4	5	4	6	7	7	6	6	3
elna sewing machines geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	10	6	3	3	2	3	3	3	3	4	4	3	3	3	2	3
elna overlockers		-	-	-	-	-	-	-	-	-	-	-	-	-	13	10	14	12	9	9	9	9	7	6	5	6	5	5	4	4
elna overlockers australia		-	-	-	-	-	-	-	-	-	-	-	-	-	10	10	7	7	8	7	8	8	6	6	5	5	4	3	3	4
elna overlockers sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	19	4	2	2	1	1	1	1	1	2	2	1	1	1	1	1
elna overlockers melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	7	5	2	2	2	2	2	2	2	2	2	2	2	1	1	2
elna overlockers perth		-	-	-	-	-	-	-	-	-	-	-	-	-	22	5	5	4	3	3	3	3	3	4	4	3	3	3	3	3
elna overlockers adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	16	5	4	3	1	2	1	1	1	1	1	1	1	1	1	1
elna overlockers hobart		-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	3	3	2	1	2	2	2	2	2	2	2	1	1	1
elna overlockers brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	22	7	5	4	2	2	2	2	1	1	2	4	2	1	1	2
elna overlockers geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	10	6	5	3	2	4	2	3	3	3	3	3	2	1	1	1
tajima embroidery machines		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	10	10	11	9	10	11	17	10	14	11	7	7	7
tajima embroidery machines australia		-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	8	2	3	4	4	7	5	7	7	10	8	4	3	4
tajima embroidery machines sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	4	2	2	4	4	4	4	6	14	6	3	3	3
tajima embroidery machines melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	6	3	2	4	4	4	4	3	4	5	4	4	2	3
tajima embroidery machines perth		-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	6	2	4	4	5	5	4	8	8	6	6	3	3	3
tajima embroidery machines adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	2	3	2	3	3	3	3	4	2	3	3	3
tajima embroidery machines hobart		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2	2	2	2	2	2	3	2	1	1	1	1
tajima embroidery machines brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	5	7	4	5	4	4	4	3	5	5	3	3	3
tajima embroidery machines geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	1	1	1	2	1	1	2	1	2	2	1	1	1	1
horn sewing cabinet		-	-	-	-	-	-	-	-	-	-	-	-	-	10	9	11	6	7	4	5	3	4	2	2	2	2	2	2	3
horn sewing cabinet australia		-	-	-	-	-	-	-	-	-	-	-	-	-	10	9	8	2	4	4	3	3	2	2	3	3	2	2	2	3
horn sewing cabinet sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	6	6	5	3	2	3	2	3	2	2	3	2	2	1
horn sewing cabinet melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	2	5	3	2	2	3	2	1	1	1	1	1	1	1	1	1
horn sewing cabinet perth		-	-	-	-	-	-	-	-	-	-	-	-	-	19	9	11	10	9	9	9	7	7	9	8	6	4	9	2	2
horn sewing cabinet adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	16	6	6	4	4	4	4	5	4	5	5	3	2	2	2	6
horn sewing cabinet hobart		-	-	-	-	-	-	-	-	-	-	-	-	-	6	2	2	2	2	2	2	2	2	1	1	2	1	1	1	1
horn sewing cabinet brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	12	6	7	4	2	2	2	4	2	1	1	1	1	1	1	1
horn sewing cabinet geelong		-	-	-	-	-	-	-	-	-	-	-	-	-	12	4	5	5	4	3	3	5	6	6	6	4	3	4	3	3
