		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-03	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-03	2023-07-22	2023-08-01	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-06-19	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
building maintenance brighton		1	1	3	1	2	32	9	26	7	8	8	59	32	-	47	-	-	-	29	40	-	4	4	11	6	12	2	1	1	1	1	1	2	2	2	2	1	2	6
building maintenance burwood		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	2	1	2	2	2	2	1	2	2
building maintenance camberwell		2	2	2	2	7	1	1	10	1	3	3	3	7	1	1	-	2	2	1	17	14	8	1	1	1	1	2	2	2	2	2	3	1	1	1	1	1	1	2
building maintenance campbellfield		16	2	16	2	3	1	15	16	1	1	3	4	2	2	1	1	1	3	3	3	3	2	1	3	2	2	1	1	1	2	1	2	1	1	1	1	2	1	1
building maintenance chadstone		2	1	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
building maintenance clayton		2	1	10	1	1	1	1	1	1	2	3	3	3	3	2	4	1	1	2	1	2	1	1	4	3	3	2	7	1	1	1	2	2	6	4	5	6	4	1
building maintenance doncaster		1	1	1	1	1	2	5	2	6	2	6	6	2	3	2	4	4	4	2	2	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	1	2	4
building maintenance hawthorn		3	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	2	2	1	2	1	2	1	1	2	2	2	2	2
building maintenance moorabbin		4	3	36	12	3	1	1	16	20	20	16	18	15	2	2	2	1	1	2	2	2	1	1	2	2	1	1	1	1	1	1	1	1	1	1	2	4	3	3
building maintenance nunawading		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
building maintenance preston		3	1	1	1	2	1	1	1	1	1	2	2	2	2	1	1	35	14	11	17	13	4	3	9	9	4	3	7	1	1	1	2	1	1	1	1	1	1	2
building maintenance richmond		4	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	4	4	4	3	3	3	4	1	1	3	1	2	2	2	2	3	2	3	3	4	1
building maintenance ringwood		4	4	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
building maintenance south melbourne		3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
building maintenance st kilda		3	1	1	2	2	1	2	1	1	1	1	1	2	2	1	1	1	4	1	1	1	1	1	1	1	2	1	2	2	2	2	2	2	1	1	1	1	2	1
