		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-03	2022-04-22	2022-05-12	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-03-27	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-08-30	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-17	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-10	2024-08-16	2024-09-20	2024-10-18	2024-11-14
custom built caravans melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1	2	1	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1
off road caravans melbourne		9	9	8	9	9	7	8	8	13	17	12	13	8	7	13	14	16	17	16	14	15	16	16	16	13	18	14	15	15	14	14	15	12	11	12	8	12	9	5
pop top caravans melbourne		5	4	4	4	3	2	2	4	2	2	2	2	2	2	2	2	3	2	3	3	4	4	4	6	3	4	3	3	3	3	3	3	3	2	2	2	2	4	3
caravan manufacturers eastern suburbs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan manufacturers echuca		1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	2	1	1	2	1	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
caravan manufacturers gladstone		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan manufacturers mackay		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan manufacturers moama		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	1	3	2	1	1	1	1	1	1	2	1	1	3	1	1	2
caravan manufacturers northern suburbs		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
caravan manufacturers rockhampton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
