		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-15	2024-04-18	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
truck crane melbourne		3	4	4	4	5	5	4	6	10	6	5	4	3	3	7	5	5	5	5	4	7	7	4	6	6	7	7	2	4	6	7	11	9	8	12	13	14	13
truck mounted crane melbourne		1	3	3	2	2	3	3	3	5	4	2	2	3	2	6	4	3	4	3	3	5	4	3	3	1	1	2	1	1	3	4	6	9	10	13	11	12	13
crane truck hire deer park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
crane truck hire laverton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	1	2	2	2	2	1	1	1	1	1	1	1	1	2	2
crane truck hire sunshine		5	6	7	5	6	3	4	7	3	3	3	2	4	4	3	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
crane hire melbourne		20	20	20	16	14	9	12	13	21	23	18	20	27	28	38	35	22	24	34	32	35	34	36	36	45	50	50	51	50	50	55	56	41	46	35	44	69	72
mobile crane hire melbourne		16	16	14	8	7	7	11	10	13	14	11	11	15	16	26	23	14	11	12	15	17	23	21	26	28	30	47	50	33	28	46	47	36	45	27	31	42	39
mobile cranes melbourne		13	15	13	10	9	9	9	9	10	9	11	12	14	18	26	31	27	16	14	20	25	23	27	26	31	35	55	59	35	39	44	52	37	35	29	35	39	42
mini crane hire melbourne		14	13	12	9	6	8	5	10	10	12	14	14	10	13	13	12	11	11	11	17	20	19	16	17	17	19	22	20	17	18	18	19	12	13	13	16	29	29
engine crane hire melbourne		5	4	6	7	8	7	7	6	8	8	8	8	8	8	8	9	10	9	10	10	9	9	9	9	10	11	11	8	10	9	10	9	11	7	8	9	12	13
small crane hire melbourne		13	10	9	5	5	5	6	6	8	8	9	9	9	12	13	11	10	11	12	12	13	16	15	16	17	16	19	18	18	19	19	18	14	15	12	13	29	30
crane hire hoppers crossing		4	3	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	2	1	1	1	1	2	2	2	1	2	1
