		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-22	2022-11-24	2022-12-07	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-09-23	2024-10-18	2024-11-14
footings camberwell		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	5	3	4	3	4	4	4	5	5	3	4	6	4	3	4	3	2	4	11	10	10	5
footings caulfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	7	7	2	2	2	4	3	2	2	2	2	3	4	4	5	6	8	8	15	-	16	11
footings chadstone		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	3	2	3	4	2	4	4	3	3	3	2	3	2	3	3	2	3	7	10	20	17
footings elsternwick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	3	3	2	1	3	3	4	3
footings glen iris		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	6	6	5	4	4	3	4	4	4	4	3	3	3	3	4	3	3	3	4	5	7	5
footings glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	4	4	3	3	3	3	4	4	3	3	5	4	4	5	11	4	5	20	19	24	20
footings hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	8	6	8	-	4	5	6	6	6	6	4	5	5	8	9	16	6	-	-	14	58
footings malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	11	8	8	9	4	3	3	3	3	2	5	5	6	5	10	11	9	9	20	21	24	22
footings malvern east		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	5	5	6
footings mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	3	3	3	3	3	3	4	3	3	2	2	3	3	4	4	4	4	7	8	9	8
