		2023-11-01	2023-12-14	2024-01-17	2024-02-15	2024-03-07	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14	2024-11-20
indoor wood fireplace		2	3	2	2	3	4	7	6	2	2	2	2	8	7
indoor fireplaces melbourne		2	2	1	2	1	2	2	2	2	2	1	1	2	1
indoor fireplaces hobart		39	13	10	13	12	11	8	8	14	10	8	8	6	8
modern fireplaces		1	1	2	2	3	2	3	9	10	13	10	9	9	8
modern electric fireplace		8	8	13	10	32	53	51	76	43	35	25	33	43	44
modern fireplaces melbourne		1	1	1	1	1	1	1	1	1	1	1	2	1	1
modern fireplaces hobart		43	18	9	9	9	8	8	10	7	11	10	10	11	9
freestanding fireplaces		16	22	16	26	-	28	21	35	14	5	11	20	30	28
freestanding outdoor fireplace		7	11	7	7	9	5	3	5	2	2	1	6	5	4
freestanding fireplace melbourne		6	2	2	3	3	2	5	7	8	5	12	11	9	10
freestanding fireplace hobart		42	28	13	13	12	9	8	7	17	6	7	5	7	8
freestanding gas fireplace		28	27	45	45	29	17	53	52	24	8	32	48	50	50
freestanding gas log fireplace		39	48	57	67	57	52	43	72	57	40	40	24	24	25
modern freestanding wood fireplace		47	52	39	39	55	39	29	29	30	18	37	32	37	29
double sided fireplaces		10	10	11	21	14	7	9	13	31	16	14	10	11	11
double sided fireplace melbourne		1	1	1	1	2	1	2	2	1	1	1	2	2	2
double sided fireplace hobart		12	13	3	3	3	2	2	1	1	2	1	1	1	1
double sided wood fireplace		13	17	21	23	23	20	20	20	22	30	12	11	13	10
double sided wood heater		17	20	29	34	50	27	53	25	42	24	23	14	20	20
double sided electric fireplace		12	28	9	10	9	6	4	5	8	3	3	2	2	2
fireplaces Geelong		66	63	11	12	10	7	5	5	6	4	4	4	4	4
fireplaces Bendigo		-	-	11	11	6	3	1	1	1	1	2	2	2	2
fireplaces Ballarat		49	80	9	13	9	12	11	4	4	4	4	2	3	3
fireplaces Mornington Peninsula		59	55	6	5	4	3	4	3	4	1	1	1	2	2
fireplaces Hampton		-	-	4	4	4	4	4	4	4	4	2	2	2	2
fireplaces Lilydale		53	-	5	5	6	7	4	3	4	2	2	2	2	2
fireplaces Dandenong		28	34	7	7	5	2	2	2	2	2	2	2	2	2
fireplaces Richmond		2	1	2	1	2	3	2	3	2	3	3	3	3	3
fireplaces Launceston		-	-	7	7	6	6	6	4	4	2	2	2	3	2
fireplaces Devonport		9	10	8	6	6	3	4	4	4	2	2	2	2	2
electric fireplaces Geelong		31	44	3	3	2	2	2	2	2	1	1	1	1	1
electric fireplaces Bendigo		78	-	2	2	2	2	2	1	2	2	1	1	2	2
electric fireplaces Ballarat		85	-	3	2	1	1	1	1	1	1	1	1	1	1
electric fireplaces Mornington Peninsula		25	21	3	3	3	2	2	1	1	1	1	1	2	2
electric fireplaces Hampton		77	64	1	1	1	1	1	1	1	2	1	2	1	1
electric fireplaces Lilydale		3	3	1	2	2	2	1	2	1	2	1	1	2	2
electric fireplaces Dandenong		3	5	2	3	1	1	1	1	1	1	1	1	1	1
electric fireplaces Richmond		2	1	2	2	2	2	2	2	2	2	2	2	2	2
electric fireplaces Launceston		-	-	3	4	2	1	2	3	3	3	2	1	3	3
electric fireplaces Devonport		7	11	1	1	1	1	1	1	1	1	1	1	1	1
gas fireplaces Geelong		70	-	11	11	8	5	4	3	3	1	2	2	3	3
gas fireplaces Bendigo		-	-	5	5	5	4	3	5	2	1	2	2	2	2
gas fireplaces Ballarat		23	31	7	8	8	8	6	6	6	5	4	5	6	6
gas fireplaces Mornington Peninsula		46	-	6	6	5	3	2	2	1	1	1	3	3	3
gas fireplaces Hampton		-	-	4	4	4	4	4	4	4	3	2	2	2	2
gas fireplaces Lilydale		82	-	4	3	3	3	3	3	4	2	2	2	2	2
gas fireplaces Dandenong		45	49	6	5	5	4	3	1	2	1	1	1	1	1
gas fireplaces Richmond		3	2	3	2	3	2	2	2	2	2	2	2	2	3
gas fireplaces Launceston		-	-	5	5	3	3	3	3	3	3	3	3	3	3
gas fireplaces Devonport		8	11	3	4	2	2	2	2	2	2	2	2	2	2
open fireplaces Geelong		41	46	2	3	1	4	3	2	1	3	1	1	4	2
open fireplaces Bendigo		-	-	1	1	1	1	1	1	2	1	1	1	1	1
open fireplaces Ballarat		37	58	2	2	2	2	2	2	2	2	2	2	2	2
open fireplaces Mornington Peninsula		85	-	4	2	2	3	3	2	2	2	2	3	1	2
open fireplaces Hampton		-	-	1	2	1	1	1	1	2	1	1	1	1	1
open fireplaces Lilydale		42	-	2	2	2	2	2	1	1	1	1	1	1	1
open fireplaces Dandenong		32	36	2	2	2	2	2	2	2	2	1	2	2	2
open fireplaces Richmond		11	8	1	1	1	1	1	1	1	1	1	1	1	1
open fireplaces Launceston		-	-	1	1	1	1	1	1	1	1	1	1	1	1
open fireplaces Devonport		9	10	1	1	1	1	1	1	1	1	1	1	1	1
outdoor fireplaces Geelong		64	-	3	5	4	4	4	3	6	3	2	2	2	2
outdoor fireplaces Bendigo		-	-	2	3	1	1	1	1	1	1	1	1	2	2
outdoor fireplaces Ballarat		47	61	1	2	2	1	1	2	2	1	1	1	1	1
outdoor fireplaces Mornington Peninsula		62	67	1	1	1	1	1	1	1	1	1	1	1	1
outdoor fireplaces Hampton		-	-	2	2	2	2	2	2	2	2	1	5	2	2
outdoor fireplaces Lilydale		37	-	1	1	1	1	1	1	1	1	1	1	1	1
outdoor fireplaces Dandenong		-	72	1	1	1	1	1	1	1	1	1	1	1	1
outdoor fireplaces Richmond		1	1	1	1	1	1	1	1	1	1	1	4	1	1
outdoor fireplaces Launceston		-	-	2	2	1	2	1	2	2	2	1	1	2	1
outdoor fireplaces Devonport		8	14	1	1	1	1	1	1	1	1	1	1	1	1
indoor fireplaces Geelong		58	68	4	5	4	3	4	2	2	2	2	3	3	4
indoor fireplaces Bendigo		-	-	1	1	1	1	1	1	1	1	1	1	1	1
indoor fireplaces Ballarat		51	78	2	3	2	2	2	2	3	3	2	2	2	2
indoor fireplaces Mornington Peninsula		60	65	3	2	2	2	2	2	2	1	1	1	2	1
indoor fireplaces Hampton		84	84	2	2	2	3	1	3	2	2	1	1	1	1
indoor fireplaces Lilydale		10	10	2	2	2	1	2	1	1	2	1	1	1	2
indoor fireplaces Dandenong		17	23	1	2	1	2	2	2	2	2	2	2	2	2
indoor fireplaces Richmond		2	3	2	1	1	2	2	1	2	1	1	2	2	2
indoor fireplaces Launceston		-	-	3	1	1	1	1	1	1	1	1	1	1	1
indoor fireplaces Devonport		9	7	1	1	1	1	1	1	2	1	1	1	1	1
freestanding fireplaces Geelong		41	52	5	6	6	4	1	3	4	4	3	3	4	4
freestanding fireplaces Bendigo		-	-	2	2	3	2	2	1	2	1	1	2	2	2
freestanding fireplaces Ballarat		44	54	4	4	3	3	4	4	4	4	3	2	2	2
freestanding fireplaces Mornington Peninsula		24	-	3	3	1	1	1	1	1	1	1	1	1	1
freestanding fireplaces Hampton		-	-	1	1	1	1	1	1	2	1	1	1	1	1
freestanding fireplaces Lilydale		-	73	3	3	3	3	2	1	2	1	1	1	2	2
freestanding fireplaces Dandenong		26	28	2	2	2	2	2	2	2	2	2	2	2	2
freestanding fireplaces Richmond		2	1	1	1	1	1	1	1	1	1	1	1	1	1
freestanding fireplaces Launceston		-	-	2	2	1	2	1	1	1	1	2	1	2	2
freestanding fireplaces Devonport		11	15	1	1	1	1	1	1	1	1	1	1	1	1
fireplaces ferntree gully		-	-	-	-	4	3	3	3	3	3	3	3	3	3
electric fireplaces ferntree gully		-	-	-	84	1	1	1	1	1	1	1	2	1	1
gas fireplaces ferntree gully		-	-	64	90	4	4	3	3	3	3	2	1	3	3
open fireplaces ferntree gully		-	-	-	92	1	1	1	1	1	1	1	1	1	1
outdoor fireplaces ferntree gully		-	-	-	-	2	1	1	1	1	1	1	1	1	1
indoor fireplaces ferntree gully		-	-	-	-	1	2	1	1	1	1	1	1	1	1
freestanding fireplaces ferntree gully		-	-	-	-	1	1	1	1	1	1	1	1	1	1
