		2021-12-16	2022-01-20	2022-02-11	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-04	2022-11-23	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-12	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-04	2024-05-16	2024-09-23	2024-10-18	2024-11-14
drape cleaning Docklands		-	-	2	2	2	2	1	1	1	23	22	21	25	19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drape cleaning Malvern		-	-	2	1	1	1	2	1	1	2	11	11	10	9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
drape cleaning Sunbury		-	-	30	3	62	57	1	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
blind cleaning Hillside		-	-	14	23	4	2	2	4	3	3	3	3	3	2	2	2	2	2	1	1	1	1	2	2	2	2	2	3	3	2	2	1	2	2
blind cleaning Caroline Springs		-	-	-	4	4	5	2	2	3	4	3	4	3	3	3	2	3	3	2	2	2	1	4	4	4	3	4	1	1	2	2	3	2	2
blind cleaning Templestowe		-	-	12	5	5	6	5	4	5	8	8	7	7	10	7	7	7	6	5	4	4	1	3	4	4	4	5	4	5	4	5	2	2	3
blind cleaning Geelong		-	-	-	10	13	14	37	7	42	9	8	8	8	8	5	5	5	5	4	4	4	4	4	4	3	2	2	2	2	2	3	4	3	3
blind cleaning Blackburn		-	-	-	5	35	5	-	32	2	6	3	3	3	3	3	2	2	2	2	2	3	2	2	2	2	1	1	3	3	3	3	2	2	2
blind cleaning Glen Waverley		-	-	-	6	6	33	26	61	4	6	6	6	6	6	6	5	8	6	5	5	5	5	6	4	4	4	3	4	4	5	4	4	3	3
blind cleaning Ringwood		-	-	11	5	13	4	18	12	4	6	15	5	4	7	5	6	5	6	3	4	6	5	5	5	6	5	5	4	5	5	5	3	2	2
blind cleaning Keilor		-	-	8	6	35	6	28	3	2	4	4	2	3	3	2	3	3	3	2	3	2	1	1	1	1	3	3	1	3	4	1	1	1	1
blind cleaning Strathmore		-	-	48	3	4	4	5	-	2	3	6	6	5	5	6	6	5	5	1	1	2	1	1	1	1	1	2	1	5	7	2	9	6	4
blind cleaning Hampton		-	-	-	33	41	39	32	31	2	3	2	31	2	23	1	5	3	3	2	3	3	1	3	1	1	1	3	1	3	3	3	2	2	2
blind cleaning Bentleigh		-	-	86	48	38	5	27	3	3	4	4	3	4	3	2	2	3	1	2	1	1	1	2	2	1	2	2	2	2	3	2	2	2	2
blind cleaning Highett		-	-	58	3	28	31	3	21	3	3	4	4	4	4	16	18	14	15	2	2	1	1	2	1	1	1	8	1	2	1	1	2	2	2
blind cleaning Belmont		-	-	-	11	4	2	1	1	3	1	1	1	21	2	1	2	7	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	8	1
blind cleaning Albert Park		-	-	25	49	50	3	47	43	2	45	2	45	2	4	4	4	24	32	2	1	2	1	1	1	2	3	2	2	2	3	4	2	2	2
blind cleaning Docklands		-	-	6	4	2	2	2	1	2	18	16	5	3	5	2	9	2	3	3	3	3	2	3	3	2	2	2	2	3	3	3	2	3	2
blind cleaning Malvern		-	-	4	5	3	6	5	5	7	10	10	7	8	10	5	4	7	4	1	7	7	8	7	6	7	4	8	7	7	4	4	6	7	9
blind cleaning Sunbury		-	-	11	6	23	3	16	3	20	29	27	23	23	25	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	4	2	2
curtain mould removal Hillside		-	-	9	1	3	21	3	1	1	1	3	3	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
curtain mould removal Caroline Springs		-	-	-	2	2	3	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
curtain mould removal Templestowe		-	-	14	3	4	4	2	2	2	3	3	4	4	3	1	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
curtain mould removal Geelong		-	-	27	3	6	4	3	2	3	3	3	3	3	3	2	2	4	2	1	1	1	2	2	1	1	1	1	1	1	1	3	1	1	3
curtain mould removal Blackburn		-	-	-	5	3	4	4	7	2	3	2	3	5	4	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
