		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-15	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-18	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-02-20	2024-03-15	2024-04-19	2024-05-16	2024-06-14	2024-07-18	2024-08-16	2024-09-05	2024-10-18	2024-11-14
roof restoration donvale		7	7	3	3	3	1	2	1	1	1	4	5	5	5	7	6	12	14	10	7	8	7	8	4	5	7	5	5	5	3	3	2	1	1	2	5	2	4
roof restoration ferntree gully		20	18	12	12	16	25	-	32	15	14	-	8	9	7	7	9	21	22	13	13	10	9	18	10	10	10	10	10	10	9	7	2	3	2	4	7	7	6
roof restoration hallam		-	8	7	8	6	9	9	6	6	7	7	7	5	5	-	5	-	-	10	10	12	11	9	7	7	18	13	12	12	11	6	9	6	5	7	9	7	9
roof restoration hampton park		10	8	7	10	9	11	12	-	7	-	-	8	9	-	8	8	9	15	7	8	9	8	11	4	5	10	8	9	8	6	6	6	6	6	5	5	1	2
roof restoration keysborough		8	7	3	4	4	3	-	2	3	3	4	4	4	3	-	5	12	14	9	9	7	13	9	8	8	8	8	8	8	9	10	9	6	5	3	3	4	2
roof restoration knox		8	3	3	3	3	3	1	3	3	3	4	4	4	4	3	3	6	4	1	2	2	4	4	3	3	4	5	5	5	4	1	1	3	3	3	5	3	1
roof restoration knoxfield		8	5	4	6	6	4	8	8	9	9	-	8	9	8	-	8	9	9	6	6	2	4	2	3	3	4	2	3	3	4	2	6	3	1	3	3	5	6
roof restoration moorabbin		18	16	7	9	11	-	-	11	9	9	-	10	10	8	18	10	16	16	14	14	14	9	11	9	9	13	10	10	9	10	1	5	8	11	8	10	7	13
roof restoration mornington		12	7	6	16	14	-	20	20	13	13	14	14	14	-	22	-	39	-	24	31	23	23	25	21	26	29	23	23	25	27	19	29	82	22	18	14	14	17
roof restoration narre warren		9	10	4	5	5	3	3	4	4	4	4	4	3	3	6	6	18	22	12	10	9	13	12	16	14	11	13	18	16	14	14	12	8	6	17	14	11	16
