		2021-06-21	2021-07-15	2021-08-09	2021-09-08	2021-09-26	2021-10-21	2021-11-08	2021-11-24	2021-12-16	2022-01-20	2022-02-03	2022-02-14	2022-03-18	2022-04-06	2022-05-18	2022-06-15	2022-07-15	2022-08-02	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-13	2023-02-16	2023-03-14	2023-04-17	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-07	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-03-18	2024-04-19
rent to own fridge		10	12	-	10	9	8	4	4	4	2	3	3	2	3	3	2	3	3	3	3	3	3	2	2	1	2	2	2	1	1	1	2	1	1	1	1	1
freezer rental		12	14	57	-	6	8	6	7	4	3	3	3	4	5	3	3	3	3	2	2	2	3	2	1	1	1	1	1	2	3	3	3	3	3	3	3	2
hisense freezer rental		-	-	-	-	-	-	3	2	2	2	1	3	2	2	1	1	1	2	1	1	2	1	1	1	2	2	2	3	2	3	4	3	1	1	1	1	1
laundry appliance rental		-	-	-	-	-	-	3	4	3	3	2	2	1	3	1	3	2	2	2	2	2	1	2	1	2	1	3	1	1	1	1	1	1	1	1	1	2
washing machine rental		17	11	16	10	9	7	6	7	7	6	4	4	4	5	3	4	3	3	3	3	4	4	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
rent to own washing machine		31	30	-	13	14	10	12	12	8	7	7	8	8	10	11	20	6	7	5	5	5	5	-	3	3	3	3	3	2	2	2	2	1	1	1	1	1
top loader rental		-	-	-	-	-	-	5	5	5	5	4	4	4	4	6	5	5	4	4	3	4	4	3	2	2	2	3	2	1	1	1	1	1	1	1	1	1
top load washer rental		-	-	-	-	-	-	8	9	7	6	5	5	5	5	5	6	6	6	4	4	4	4	4	3	3	3	3	2	1	1	2	1	1	1	1	1	1
front loader rental		-	-	-	-	-	-	7	-	-	-	-	-	-	5	4	4	5	5	5	3	3	4	3	2	2	3	4	3	2	1	1	1	2	1	1	1	1
front load washer rental		-	-	-	-	-	-	8	9	6	6	5	5	5	6	4	4	4	4	4	4	4	4	4	3	3	3	3	3	2	1	2	1	1	1	1	1	1
dryers rental		-	-	-	-	-	-	6	8	8	8	5	5	5	5	5	4	5	6	5	5	5	5	-	3	3	4	3	3	2	1	2	1	1	1	1	1	1
clothes dryer rental		-	-	-	-	-	-	41	44	14	44	6	6	5	5	5	4	4	4	5	5	5	5	4	2	2	2	2	2	1	1	1	1	1	1	1	1	1
vacuum cleaner rental		-	-	-	-	-	-	74	-	56	50	7	6	7	13	11	12	14	12	10	10	9	-	4	3	3	4	4	4	3	2	2	2	3	3	1	3	3
dyson vacuum rental		-	-	-	-	-	-	8	9	9	6	3	2	3	3	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
