		2021-11-18	2021-12-08	2022-01-20	2022-02-18	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-13	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-19	2024-10-18	2024-11-14
Asphalt Driveways Mount Eliza		-	-	-	9	7	26	8	19	15	7	4	4	3	4	3	2	3	4	3	3	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Driveways Narre Warren		-	-	58	32	10	9	5	6	4	6	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Driveways Dandenong		-	-	55	14	11	12	11	37	48	38	3	27	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Driveways Glen Waverley		-	-	-	5	13	9	8	9	4	9	4	3	3	5	4	4	4	3	4	3	2	2	2	2	2	2	2	4	2	2	2	3	2	2	3	6	3
Asphalt Driveways Mount Waverley		-	-	-	3	3	4	6	3	20	7	2	2	1	1	2	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Driveways Clayton		-	-	-	5	56	4	5	55	53	37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	2
Asphalt Driveways Bentleigh		-	-	35	16	8	8	8	23	22	19	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	2	1
Asphalt Driveways Carrum Downs		-	-	-	4	4	4	4	7	4	6	2	2	3	3	4	3	1	1	4	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	2	1
Asphalt Driveways Noble Park		-	-	-	4	4	4	4	7	9	2	1	1	1	1	4	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Driveways Springvale		-	-	-	6	6	6	5	2	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Repairs Mount Eliza		-	-	-	6	5	9	5	9	8	5	4	3	2	3	4	4	2	4	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Repairs Narre Warren		-	46	-	5	6	4	3	3	3	5	2	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Repairs Dandenong		-	29	29	10	18	10	12	13	34	25	4	5	3	2	4	3	3	3	1	1	2	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1
Asphalt Repairs Glen Waverley		-	-	-	4	5	7	7	6	11	5	3	3	4	4	4	5	4	3	3	3	3	4	3	3	3	3	3	4	3	3	3	4	3	4	3	6	5
Asphalt Repairs Mount Waverley		-	-	-	7	5	5	6	5	7	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
Asphalt Repairs Clayton		-	-	-	4	5	8	4	5	11	7	1	2	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Repairs Bentleigh		-	57	35	6	6	6	4	4	12	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Repairs Carrum Downs		-	26	-	3	3	3	3	7	4	6	3	3	4	3	3	3	2	1	2	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	2	2	2
Asphalt Repairs Noble Park		-	-	-	2	3	3	9	6	3	8	1	1	4	6	3	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Asphalt Repairs Springvale		-	-	-	3	3	3	3	2	4	3	1	1	3	2	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
