		2022-04-27	2022-05-19	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-10	2023-06-15	2023-07-05	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-07	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
laser clinic preston		-	-	-	-	74	4	4	3	3	5	5	7	5	5	3	3	5	4	8	6	5	3	4	3	3	5	3	3	5	4	4	4
laser clinic reservoir		-	-	-	-	41	26	25	30	3	3	2	2	3	3	4	2	2	3	4	4	4	2	4	3	2	4	4	3	3	3	5	6
laser clinic richmond		-	-	-	-	-	3	4	3	3	7	6	10	8	10	6	6	6	6	5	7	5	5	5	5	7	9	6	7	12	-	15	11
laser clinic south yarra		-	-	-	-	9	7	7	7	-	8	9	5	6	6	6	6	6	6	7	7	6	6	6	6	7	8	7	8	8	9	8	7
laser clinic southbank		-	-	-	-	27	2	2	2	1	2	2	1	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
laser hair removal brunswick		14	15	12	12	13	6	3	3	3	3	3	3	4	4	3	4	3	4	3	2	2	2	2	2	1	1	1	1	1	2	2	2
laser hair removal bundoora		-	-	-	-	14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
laser hair removal camberwell		-	-	-	-	6	6	6	6	5	6	6	6	6	7	5	5	5	5	5	5	4	6	6	5	4	5	4	5	7	7	6	6
laser hair removal carlton		-	-	-	38	23	3	3	3	2	2	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	2	2	2	2	4
laser hair removal coburg		-	-	-	-	2	2	2	2	2	2	2	2	2	2	2	1	1	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2
laser hair removal fairfield		-	-	-	-	61	2	3	2	1	4	5	9	6	10	7	9	8	13	8	8	4	3	3	3	3	3	2	3	4	4	4	4
laser hair removal fitzroy		-	-	-	-	15	4	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
laser hair removal hawthorn		-	78	44	-	6	5	5	4	4	4	4	3	4	4	4	4	3	5	4	4	4	3	3	3	3	3	3	2	2	3	2	2
laser hair removal kew		-	-	41	-	22	7	7	8	8	8	8	8	8	8	8	8	7	8	9	9	8	7	7	6	6	6	5	5	5	4	3	5
laser hair removal pascoe vale		-	-	-	-	4	3	3	3	3	3	3	4	3	3	3	3	3	5	3	4	2	3	3	3	3	3	3	3	3	3	3	3
laser hair removal preston		-	-	-	-	61	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	3	3	2	2	2	3	2	2	3	2	2	6
laser hair removal reservoir		-	-	-	-	25	18	19	15	3	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2
laser hair removal richmond		-	-	-	-	-	3	4	3	3	5	5	5	5	5	4	5	6	6	7	7	8	6	4	6	6	5	4	4	10	6	5	11
laser hair removal south yarra		-	-	-	-	8	6	6	6	7	10	10	6	4	5	4	5	5	5	6	5	4	4	4	4	5	8	8	8	7	16	11	5
laser hair removal southbank		-	-	-	-	16	3	3	3	3	3	3	3	1	2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
