		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-05-29	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-06	2024-09-20	2024-10-18	2024-11-14
vnt turbo brisbane		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2
vnt turbo darwin		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
vnt turbo sydney		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
electronic actuator brisbane		30	32	63	44	37	45	49	35	37	23	17	33	31	17	18	12	24	22	25	17	21	27	29	26	27	19	21	23	23	18	18	-	20	22	21	54	47	53
electronic actuator darwin		6	6	7	6	6	4	6	9	4	3	3	5	5	5	5	6	5	6	5	4	4	4	5	5	6	7	7	8	8	5	5	6	10	7	7	9	11	13
electronic actuator melbourne		19	19	22	29	15	23	21	21	19	16	11	12	15	13	15	13	12	12	13	14	17	17	13	12	24	15	12	17	19	17	19	11	26	25	19	55	43	55
electronic actuator sydney		17	28	12	15	39	35	30	34	29	14	18	17	28	19	19	14	20	20	18	21	20	17	14	17	26	19	21	21	19	13	16	11	17	24	18	37	36	51
garrett turbo		33	13	14	16	14	13	8	14	11	21	21	23	16	18	21	20	15	22	23	20	19	36	29	34	43	39	73	82	90	76	69	82	84	32	69	24	30	31
hilux electronic actuator brisbane		1	2	1	1	1	3	4	4	5	3	5	4	4	4	3	2	2	2	3	3	2	3	3	3	2	2	1	2	2	1	2	1	3	3	3	4	5	6
hilux electronic actuator darwin		1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hilux electronic actuator melbourne		4	3	3	2	3	1	2	4	2	3	1	4	4	4	4	3	2	3	4	5	2	3	2	4	3	4	2	5	3	2	5	3	6	2	2	2	4	7
hilux electronic actuator sydney		1	1	1	1	1	3	3	3	2	4	4	4	5	4	4	1	2	2	1	3	2	15	4	2	2	1	1	1	1	3	1	3	5	3	3	4	4	6
turbo australia		13	7	7	10	10	8	7	8	9	9	15	7	6	8	8	11	10	13	10	11	9	11	12	11	13	12	14	17	17	17	15	15	13	13	12	10	19	25
turbo brisbane		14	12	10	9	11	6	5	7	10	6	12	8	7	10	8	14	22	30	30	24	42	15	26	15	15	21	16	14	14	13	13	15	14	10	10	11	15	15
turbo darwin		3	3	2	3	2	2	4	4	2	3	8	2	3	4	4	2	3	3	4	4	2	5	5	3	2	2	2	2	2	3	3	3	3	3	2	10	3	3
turbo melbourne		1	1	3	1	1	1	1	1	1	2	1	1	1	1	1	2	1	2	2	2	2	3	9	5	9	11	10	8	10	10	8	6	8	6	5	11	6	5
turbo sydney		4	4	5	3	3	3	2	3	3	3	3	3	3	-	2	4	3	4	3	3	3	5	3	3	6	4	4	3	3	3	3	3	4	4	3	3	4	8
cummins turbo for sale		2	2	2	2	2	1	-	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cummins turbo		13	11	13	10	12	9	9	10	9	2	2	9	9	8	8	2	2	2	2	3	2	2	2	6	8	5	5	3	4	3	2	3	2	2	2	2	2	2
holset turbo for sale		3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
holset turbo		5	5	2	3	4	3	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	3	3	3	2	2	1	1	1	2	1	-	1
garrett turbo for sale		31	13	14	15	13	12	9	13	14	12	12	14	14	13	16	12	12	20	17	20	15	20	24	21	28	19	18	21	23	22	21	29	20	24	17	29	26	28
