		2023-01-11	2023-02-16	2023-03-16	2023-04-14	2023-05-02	2023-05-17	2023-06-02	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
joinery box hill		-	4	51	57	71	64	79	7	5	8	5	9	6	6	4	6	6	6	4	3	2	2	2	4
joinery templestowe		-	5	6	5	4	5	28	4	5	16	7	6	7	3	3	2	3	1	2	2	1	1	1	1
joinery ferntree gully		-	7	28	28	27	25	24	7	7	5	7	9	9	8	7	7	5	5	3	2	1	2	1	2
joinery glen waverley		-	-	-	-	6	7	28	5	5	4	4	3	2	2	2	2	2	2	2	2	2	1	1	1
joinery bulleen		-	3	4	4	2	2	2	2	6	7	7	6	5	3	2	2	3	3	2	2	3	1	1	1
joinery wantirna		-	-	-	-	2	2	35	2	4	7	4	3	4	2	2	3	6	4	2	2	2	1	1	1
joinery bayswater		-	7	-	-	76	-	78	8	9	8	10	11	11	11	10	12	13	12	7	5	5	4	3	6
joinery blackburn		-	-	-	81	67	66	59	8	9	9	8	6	7	7	6	8	6	5	4	3	1	1	1	2
joinery mount waverley		-	-	-	-	3	11	25	3	3	3	2	2	2	2	2	2	2	2	2	1	1	1	1	1
joinery lilydale		-	3	28	38	35	6	7	6	7	8	8	7	6	7	7	7	6	7	4	3	3	2	1	1
joinery mooroolbark		-	4	4	3	2	2	3	3	6	4	5	2	3	2	2	2	2	2	1	1	1	1	1	1
joinery rowville		-	64	6	5	6	42	42	6	10	8	8	4	5	10	11	9	9	9	5	5	5	5	4	3
medical fitouts ringwood		13	2	1	2	4	3	4	5	6	9	4	4	3	3	4	9	9	5	7	3	9	12	11	8
medical fitouts nunawading		-	2	4	3	4	11	8	4	2	3	3	2	3	3	3	3	3	3	3	3	3	3	4	4
medical fitouts burwood		-	41	35	6	5	34	32	6	7	14	5	7	5	5	5	9	11	11	13	9	7	6	8	8
medical fitouts doncaster		-	8	6	5	7	8	15	1	2	2	2	2	2	3	2	4	4	5	8	9	11	9	10	10
medical fitouts croydon		-	6	8	8	10	12	11	8	17	16	8	13	16	14	12	13	14	11	14	6	3	28	13	25
medical fitouts box hill		-	31	14	37	30	40	31	15	11	7	6	10	4	5	4	7	9	8	10	7	4	7	5	4
medical fitouts templestowe		-	1	1	1	1	2	5	1	1	1	1	1	1	1	1	1	2	1	4	5	2	1	1	1
medical fitouts ferntree gully		-	4	11	7	12	-	5	5	7	6	4	4	4	4	4	4	4	2	2	3	3	1	2	1
medical fitouts glen waverley		-	-	-	-	24	9	11	8	7	12	8	8	10	8	8	11	15	11	17	14	8	6	7	5
medical fitouts bulleen		-	1	2	2	3	3	2	1	3	1	2	2	2	1	2	1	2	1	3	4	2	2	2	2
medical fitouts wantirna		-	-	-	-	3	3	9	2	5	7	3	3	3	4	4	3	5	3	4	1	3	1	1	1
medical fitouts bayswater		-	19	22	4	4	3	11	3	2	6	3	3	3	3	3	4	5	5	6	7	5	3	2	2
medical fitouts blackburn		-	7	4	7	9	10	7	6	7	7	5	7	6	6	5	7	8	7	7	8	6	6	9	7
medical fitouts mount waverley		-	-	-	-	16	14	16	4	7	5	5	5	6	6	2	4	7	8	9	9	2	8	6	8
medical fitouts lilydale		-	10	6	5	6	5	6	2	2	6	2	4	1	1	1	1	3	4	6	3	3	2	2	3
medical fitouts mooroolbark		-	1	1	1	1	2	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
medical fitouts rowville		-	17	16	2	1	11	8	2	5	1	1	1	2	1	1	1	2	6	4	3	2	4	2	2
