		2021-11-30	2021-12-16	2022-01-20	2022-02-10	2022-03-02	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-05-26	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-01	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-08	2024-04-18	2024-05-16	2024-05-28	2024-06-13	2024-07-19	2024-07-26	2024-08-16	2024-09-20	2024-10-18	2024-11-14
market umbrellas brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	56	40	42	55	61	53	50	71	63	71	67	63	53	32	32
outdoor umbrellas brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	86	85	79	78	66	78	87	-	82	76	76	79	62
cafe umbrellas brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	31	26	16	14	11	10	7	13	18	16	30	13	5	6
market umbrellas adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	47	29	38	43	47	38	39	39	12	14	14	8	10	11
outdoor umbrellas adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	63	54	57	61	58	58	48	47	14	15	14	11	16	14
cafe umbrellas adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	73	8	29	7	7	8	8	5	4	4	3	3	5	2	3	4
market umbrellas gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	9	4	4	5	6	4	2	2	2	2	2	3	3	7
outdoor umbrellas gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	15	9	10	11	9	9	7	5	5	6	7	5	8	9
cafe umbrellas gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	6	5	5	4	4	5	2	2	2	2	2	3	3	2
cafe barriers sydney		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33	68	30	25	21	20	21	17	18	25	23	26	4	5	11
cafe barriers brisbane		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	11	10	5	5	5	3	4	3	5	5	5	4	5	6
cafe barriers adelaide		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	5	6	3	3	3	3	3	3	2	2	5	2	1	1
cafe barriers gold coast		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
outdoor market umbrella		-	-	-	-	11	9	3	2	3	2	5	10	12	9	2	2	4	4	3	5	2	8	10	4	3	3	7	10	12	10	9	7	8	5	8	10	11	5	8	4	6
square market umbrella		-	-	-	-	-	56	47	53	43	54	55	65	60	47	23	23	40	42	37	42	12	22	24	29	9	25	36	47	52	47	34	47	53	58	68	72	72	50	44	50	62
rectangular market umbrella		-	-	-	-	-	41	44	48	41	38	37	12	14	15	37	20	14	10	11	12	15	7	7	9	9	11	6	10	12	18	8	12	8	14	14	16	16	14	10	7	10
pool umbrellas melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	8	10	12	8	19	3	12
pool shades melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	11	10	10	19	16
large umbrella melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	19	7	5	6	5	7	8
large outdoor umbrellas melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	3	2	2	5	2	4
heavy duty umbrella melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	33	35	4	5	4	8	5	14
patio umbrella melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	5	5	5	4	7	3	6
branded event umbrellas melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	3	9	4	7	6	8
shade umbrellas melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	12	11	5	4	12	7	4
cantilever umbrellas melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	15	17	17	19	13	5	18
