		2023-01-20	2023-02-16	2023-03-17	2023-03-20	2023-04-14	2023-04-18	2023-05-12	2023-06-15	2023-06-22	2023-07-20	2023-08-17	2023-09-15	2023-09-26	2023-10-20	2023-11-17	2023-11-22	2023-12-14	2024-01-19	2024-02-15	2024-03-14	2024-03-19	2024-04-11	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-10	2024-10-16	2024-10-21	2024-11-14
7 cm elevator shoes		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
8 cm elevator shoes		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
10 cm elevator shoes		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
2 inch elevator shoes		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10	1	1
3 inch elevator shoes		2	2	1	1	1	3	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4 inch elevator shoes		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
formal shoes australia		9	19	11	10	10	10	10	9	9	10	11	15	7	12	19	21	10	19	50	39	35	30	24	11	10	17	29	35	45	20
elevator formal shoes		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
formal shoes for sale		-	17	-	-	84	95	61	-	18	-	-	13	-	15	11	11	12	96	34	17	-	14	28	29	61	16	14	-	-	35
formal shoes for men		12	13	26	22	21	22	45	12	14	12	20	19	18	15	19	19	16	23	28	24	27	-	26	9	11	12	13	20	27	27
black formal shoes		13	17	31	24	18	27	26	26	13	33	27	28	26	30	17	13	10	58	56	24	48	52	18	27	4	28	36	39	39	38
brown formal shoes		12	15	16	15	15	15	56	13	13	12	12	9	10	10	8	10	10	19	27	18	19	14	11	10	18	11	12	9	17	13
black formal shoes for men		14	17	30	31	15	25	64	18	13	30	25	24	25	27	11	13	10	45	60	26	19	45	13	8	7	12	27	15	15	38
brown formal shoes for men		10	9	11	13	11	11	13	8	10	11	9	11	12	11	9	9	11	15	27	15	13	14	12	9	9	12	12	12	13	13
casual shoes australia		-	97	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
casual elevator shoes		1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1	3	3	1	2	2	1	1	1	1	1	1	1
men's casual dress shoes		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	85	-	-	-	-	-	-	52	-	72	-	-	-	-
casual elevator sneakers		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elevator boots		2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4	2	3	3	4	2	2	3	1	1	1	1
elevator boots australia		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1
men's elevator boots		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	2	2	2
men's boots with heel		1	1	3	3	3	3	3	2	1	1	4	2	5	5	2	2	2	2	3	2	2	2	2	1	2	2	2	2	3	2
high heel boots for men		2	1	1	1	2	2	2	2	2	1	2	1	1	1	1	1	1	1	2	1	1	2	1	1	1	3	2	1	2	1
high heel shoes for men		1	1	3	3	1	1	2	1	1	1	1	2	1	1	1	1	1	1	3	1	1	1	1	1	1	1	3	1	1	1
men's heeled shoes		1	1	2	1	2	2	3	4	2	2	3	2	3	3	3	3	1	1	3	2	2	2	2	1	1	2	3	3	3	3
high boots for men		9	9	9	7	8	9	9	8	8	7	8	8	10	17	8	8	10	8	38	8	9	5	6	3	4	3	6	5	5	6
heeled work boots		20	6	16	7	19	8	3	7	24	41	52	3	30	41	2	2	1	1	6	3	57	10	13	1	2	5	5	2	5	5
high heels black boots		40	42	47	47	53	51	52	55	63	69	94	66	86	70	60	65	26	75	86	83	78	81	81	63	65	49	51	80	79	-
raised heel shoes		63	39	43	50	51	54	44	49	51	24	33	32	27	23	27	27	38	37	36	45	46	36	38	10	7	10	22	32	30	30
wide fit shoes australia		36	22	31	32	33	26	29	34	38	41	44	58	46	33	33	33	34	66	-	64	57	54	61	34	17	24	27	51	68	57
wide fit shoes		24	42	44	72	47	74	79	-	97	73	-	-	39	-	41	39	68	89	89	87	67	68	65	51	16	18	63	51	53	80
men's wide fit shoes australia		21	21	21	20	16	15	15	20	21	22	26	24	25	27	28	26	24	37	30	29	27	20	27	22	18	16	20	26	32	21
wide fit wedding shoes		20	34	24	25	30	27	36	37	38	42	-	43	39	-	40	37	56	-	-	-	-	-	61	30	29	39	41	45	53	36
wide fit wedding shoes australia		19	10	8	11	17	17	18	19	16	29	32	33	30	16	16	17	15	45	-	-	56	49	48	35	22	15	12	20	18	23
wide fit boots australia		-	-	20	20	15	14	24	34	33	30	28	34	30	28	28	32	23	35	-	54	50	43	55	21	22	13	10	12	12	15
men's wide fit boots		63	-	69	62	78	-	-	-	74	-	-	-	-	-	23	57	19	-	-	-	12	11	15	11	10	7	10	14	11	13
wedding shoes australia		64	41	29	28	50	49	49	39	35	51	59	62	53	51	53	53	53	50	-	-	-	76	80	47	51	20	58	62	68	56
men's wedding shoes		4	5	6	6	6	6	6	4	6	5	5	5	6	6	10	10	9	10	16	9	10	9	12	9	7	9	8	8	7	11
men's wedding shoes australia		4	5	4	4	7	5	5	3	3	5	6	4	5	5	6	5	3	9	14	5	5	5	5	9	6	6	10	7	15	10
groom shoes for wedding		4	4	4	4	4	4	4	4	3	5	7	7	6	6	5	5	4	4	7	7	6	5	8	3	3	3	2	3	4	4
men's wedding boots		4	4	3	3	4	4	4	4	5	6	6	6	4	5	4	4	4	6	5	4	5	5	6	4	6	6	10	8	10	11
wedding boots australia		31	17	21	23	30	28	21	21	22	30	33	26	29	31	28	27	36	37	38	70	74	64	59	43	49	42	58	64	67	58
men's black wedding shoes		7	7	8	8	8	7	10	5	5	6	6	6	5	10	6	8	7	9	10	7	8	7	8	6	5	7	6	9	10	8
men's brown wedding shoes		5	5	6	6	6	5	10	5	5	5	6	7	6	6	8	7	6	8	15	8	9	8	-	7	5	8	8	8	7	10
men's formal wedding shoes		2	2	4	4	4	4	4	2	2	3	3	1	4	8	8	8	7	11	21	7	9	3	10	5	6	8	10	17	16	17
vegan shoes australia		77	79	72	63	76	73	69	64	39	75	64	44	41	67	43	44	47	-	87	58	44	45	22	36	47	35	45	59	67	68
men's vegan shoes		36	34	40	33	39	48	52	64	21	26	58	76	80	68	62	66	-	92	-	43	42	33	40	26	31	33	39	74	80	64
men's vegan boots		54	39	40	39	61	-	-	39	34	44	53	-	67	-	-	63	59	-	-	49	48	40	-	33	47	37	38	52	63	49
vegan elevator shoes		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
men's vegan sneakers		-	52	53	53	51	50	45	59	33	-	-	-	58	-	-	-	-	-	-	-	50	49	-	36	-	-	-	-	-	-
gym shoes australia		54	49	42	56	60	46	33	-	53	37	42	50	51	37	35	37	33	69	-	63	55	58	58	33	40	36	42	39	43	46
men's gym shoes		27	26	38	46	48	44	42	36	32	36	34	32	42	25	29	35	25	40	38	38	38	38	40	19	20	24	29	35	33	33
workout shoes for men		-	19	18	21	22	23	21	23	25	25	-	-	22	20	16	-	15	18	33	30	34	33	29	17	22	21	26	33	32	35
gym elevator shoes		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
platform shoes australia		26	31	32	33	33	34	18	16	17	17	30	35	-	31	21	22	19	36	45	-	30	28	25	24	32	15	19	19	26	36
platform boots australia		32	34	47	36	61	55	-	22	23	31	44	55	39	45	44	44	26	42	64	51	52	63	57	30	34	23	-	30	43	30
men's platform shoes		2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	5	2	3	2	2	1	1	1	3	3	-	3
men's platform boots		4	2	2	3	3	3	6	4	4	4	6	8	6	6	5	5	4	7	7	8	8	7	6	3	3	3	4	4	5	3
black platform shoes		42	34	39	43	50	47	93	49	58	72	72	97	92	93	68	75	84	93	-	94	85	64	82	45	-	75	-	-	-	73
brown platform shoes		16	15	35	13	31	11	15	13	12	25	32	28	34	-	18	17	13	20	17	14	14	14	7	10	12	12	10	23	27	22
black platform boots		-	37	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
brown platform boots		39	29	37	36	38	27	34	42	38	61	56	49	53	48	48	46	49	66	-	75	64	59	-	27	40	38	52	33	46	40
platform work shoes		5	13	13	13	16	18	30	16	17	28	33	36	35	31	11	12	11	15	49	12	15	11	9	7	5	5	23	27	34	26
platform shoes for sale		21	20	34	35	27	29	37	22	24	29	41	34	33	36	23	22	23	28	36	24	28	27	30	-	20	32	10	22	25	18
elevator insoles		1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	2	2
height increasing insoles		2	2	2	2	2	2	2	3	3	2	2	4	2	3	2	2	1	1	2	1	2	2	2	1	1	2	2	2	2	2
height increasing shoe insoles		2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	1	1	1	2	1	1	1	1	1	2	2	2	2
soles to increase height		3	2	2	2	2	2	2	2	2	2	-	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	2	12	2	1
security officer shoes		-	-	-	-	-	-	-	-	-	-	-	-	-	76	-	7	5	4	5	7	11	11	9	9	26	4	-	7	-	10
security guard shoes		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	7	5	13	11	9	8	7	4	5	5	5	8
boots for security officers		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	6	8	12	12	8	9	8	8	8	7	8	12
best shoes for bouncers		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
elevator shoes melbourne		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elevator shoes sydney		2	2	2	2	2	2	2	2	2	1	-	2	2	2	2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1
elevator shoes brisbane		3	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elevator shoes adelaide		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elevator shoes perth		2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elevator shoes canberra		1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elevator shoes gold coast		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elevator shoes hobart		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
elevator shoes darwin		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
platform shoes melbourne		28	18	11	10	45	19	41	28	40	47	50	35	31	21	-	19	17	16	19	10	80	9	11	19	15	14	14	16	15	14
platform shoes sydney		25	52	47	46	45	47	54	57	54	67	56	42	49	64	55	56	51	-	-	-	-	71	72	65	58	-	-	-	57	-
platform shoes brisbane		22	47	65	62	57	51	62	65	78	81	72	57	59	51	44	47	54	56	-	29	-	34	-	43	30	29	16	13	15	20
platform shoes adelaide		13	15	11	11	12	12	14	12	11	11	13	24	23	26	37	38	28	29	30	14	-	45	51	37	35	16	19	22	17	23
platform shoes perth		41	32	34	32	36	36	29	38	27	28	36	28	26	23	23	27	27	49	65	-	41	64	-	36	49	11	45	30	19	-
platform shoes canberra		32	60	52	50	41	42	21	18	15	18	21	26	26	25	47	49	46	29	-	-	32	25	27	19	24	25	34	28	22	-
platform shoes gold coast		53	46	69	59	-	-	22	31	28	-	36	-	19	19	60	59	15	9	4	3	-	12	52	47	49	-	80	5	-	-
platform shoes hobart		-	-	54	-	-	-	-	68	76	-	33	36	18	34	22	-	5	20	5	4	59	8	12	30	4	11	8	4	30	10
platform shoes darwin		-	-	10	-	13	68	45	42	43	39	-	38	39	53	35	72	30	71	3	19	32	-	-	-	-	8	31	5	31	85
wedding shoes melbourne		50	40	34	32	37	38	35	39	27	-	41	40	38	46	26	25	31	53	25	23	28	27	53	71	30	-	18	39	46	40
wedding shoes sydney		44	54	24	18	23	24	23	16	16	37	36	37	37	17	22	21	33	53	26	20	25	58	92	37	39	35	46	46	56	59
wedding shoes brisbane		54	48	36	36	20	20	27	19	20	24	22	27	27	21	24	28	21	20	23	17	21	17	20	19	5	14	16	11	14	24
wedding shoes adelaide		45	32	35	36	18	20	25	18	19	19	19	15	16	16	19	18	20	22	17	13	10	11	19	39	11	11	10	14	19	12
wedding shoes perth		51	21	27	21	18	18	22	18	18	18	18	32	32	30	25	20	18	23	29	27	22	25	25	20	29	20	16	18	21	36
wedding shoes canberra		30	26	23	20	22	21	22	18	20	19	18	13	19	19	19	19	21	17	17	15	19	16	89	52	3	7	8	49	20	16
wedding shoes gold coast		87	49	15	17	-	-	15	11	13	15	13	18	18	19	28	28	26	22	10	9	10	12	11	14	9	5	11	18	16	21
wedding shoes hobart		-	-	8	8	5	5	6	6	6	6	5	5	5	4	4	3	2	5	3	3	3	3	3	3	3	3	3	3	3	5
wedding shoes darwin		-	-	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	2	2	1	2	3	3	6
