		2023-01-18	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-16	2023-09-15	2023-10-16	2023-10-25	2023-11-01	2023-12-08	2023-12-23	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-16	2024-10-30	2024-11-29
Commercial Painters Dromana		-	-	-	-	-	-	-	-	-	-	-	-	61	90	76	5	1	4	1	1	1	1	5	10	5	5
Commercial Painters Sorrento		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	1	1	1	1	1	1	7	10	8	8
Commercial Painters Camberwell		-	-	-	-	-	-	-	-	-	-	-	-	21	25	27	15	45	9	9	7	5	10	28	27	42	36
Commercial Painters Hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	7	9	10	13	10	1	1	1	1	1	6	7	11	14
Commercial Painters Kew		-	-	-	-	-	-	-	-	-	-	-	-	17	18	18	13	11	6	6	6	6	8	19	24	16	16
Commercial Painters Elsternwick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	1	1	1	1	1	6	4	9	8
Commercial Painters Ormond		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	7	1	2	1	2	1	5	4	8	11
Commercial Painters Hampton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	10	9	8	7	11	11	13	13	25	22
Commercial Painters Brighton		-	-	-	-	-	-	-	-	-	-	-	-	15	22	20	22	10	9	10	7	6	10	28	39	26	25
Commercial Painters Moorabbin		-	-	-	-	-	-	-	-	-	-	-	-	6	10	7	11	11	7	6	5	1	1	16	16	16	13
Commercial Painters Mulgrave		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	10	8	5	4	3	3	1	5	7	10	4
Commercial Painters Somerville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	3	2	1	1	1	1	3	4	4	4
Commercial Painters Flemington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	1	2	1	1	1	4	6	7	3
Commercial Painters Braybrook		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3	1	2	2	1	1	2	2	2	1
Commercial Painters Altona North		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	7	3	4	1	2	2	4	4	9	6
Commercial Painters Werribee		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	6	3	3	3	3	3	6	5	4	2
Commercial Painters Parkville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	2	2	3	2	1	7	11	8	6
Commercial Painters Box Hill		-	-	-	-	-	-	-	-	-	-	-	-	9	11	10	27	6	6	6	4	4	7	19	27	30	20
Commercial Painters Chadstone		-	-	-	-	-	-	-	-	-	-	-	-	3	3	2	2	1	2	1	2	1	2	4	7	17	6
Commercial Painters Doveton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	5	2	3	3	3	3	5	5	6	5
Commercial Painters Lynbrook		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	2	3	7	11
Commercial Painters Chelsea Heights		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	4	2	2	2	2	1	5	4	5	4
Commercial Painters Langwarrin		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	4	4	4	4	4	3	7	11	8	8
Commercial Painters Mornington Peninsula		-	-	-	-	-	-	-	-	-	-	-	-	7	6	6	8	5	3	4	2	1	4	12	14	26	20
Commercial Painters Melbourne CBD		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	14	16	13	16	18	12	24	40	36	37
Commercial Painters Pakenham		-	-	-	-	-	-	-	-	-	-	-	-	8	7	3	2	2	4	4	4	1	2	8	6	14	7
Strata Painters Mornington Peninsula		-	-	-	-	-	-	-	-	-	-	-	-	4	5	4	1	1	1	1	1	1	1	3	3	8	6
Strata Painters Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	10	5	4	4	4	4	5	6	7	5
Strata Painters Melbourne CBD		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	2	2	2	2
Strata Painters South Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	3	1	1	1	1	1	5	7	7	4
Strata Painters Port Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	5	1	1	1	1	1	6	6	7	3
Strata Painters West Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	6	2	1	1	1	1	5	5	6	3
Strata Painters South Yarra		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	3	1	1	1	1	3	6	8	7	5
Strata Painters Richmond		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	2	6	5	1	5	3	15	10	7
Strata Painters Hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	25	30	33	2	1	1	1	1	1	1	1	2	2	3
Strata Painters Camberwell		-	-	-	-	-	-	-	-	-	-	-	-	13	18	21	2	3	1	1	1	1	1	4	5	9	7
Strata Painters Prahran		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	5	2	3	3	2	6	8	9	9	6
Strata Painters Toorak		-	-	-	-	-	-	-	-	-	-	-	-	12	18	19	3	7	1	1	1	1	1	3	2	3	1
Strata Painters Armadale		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	2	2	2	2	2	2	3	2	15	7
Strata Painters Malvern		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	2	1	1	1	1	1	1	1	3	1
Strata Painters St Kilda		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	6	2	2	5	4	4	5	16	15	10
Strata Painters Brighton		-	-	-	-	-	-	-	-	-	-	-	-	22	23	36	4	3	1	2	1	1	1	2	3	4	2
Strata Painters Hampton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	3	3	1	1	5	4	8	9	5	4
Strata Painters Elsternwick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	2	1	1	1	1	1	2	3	3	2
Strata Painters Caulfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	2	2	1	10	3	4	2
Strata Painters Murrumbeena		-	-	-	-	-	-	-	-	-	-	-	-	36	23	36	3	4	2	2	1	1	2	2	1	1	1
Strata Painters Ormond		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	4	4	4	3	3	1	4	4	4	4
Strata Painters Bentleigh		-	-	-	-	-	-	-	-	-	-	-	-	6	10	12	1	1	1	1	1	1	1	3	6	8	1
Strata Painters Balwyn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	7	1	3	2	2	2	6	6	16	8
Strata Painters Burwood		-	-	-	-	-	-	-	-	-	-	-	-	-	53	-	2	1	2	1	1	1	2	3	3	10	7
Strata Painters Moorabbin		-	-	-	-	-	-	-	-	-	-	-	-	1	7	6	1	1	1	1	1	1	1	1	2	1	1
Strata Painters Oakleigh		-	-	-	-	-	-	-	-	-	-	-	-	4	4	4	11	1	1	1	1	1	1	1	1	1	1
Strata Painters Clayton		-	-	-	-	-	-	-	-	-	-	-	-	4	6	9	4	1	1	1	1	1	1	1	1	1	1
Strata Painters Mount Waverley		-	-	-	-	-	-	-	-	-	-	-	-	7	9	8	3	3	2	3	3	1	1	3	3	5	3
Strata Painters Glen Waverley		-	-	-	-	-	-	-	-	-	-	-	-	12	17	16	7	1	1	1	1	1	2	2	6	4	3
Strata Painters Cheltenham		-	-	-	-	-	-	-	-	-	-	-	-	11	11	12	7	1	1	1	1	1	1	2	1	4	3
Strata Painters Mentone		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	1	1	1	1	1	1	6	6	8	2
Strata Painters Mordialloc		-	-	-	-	-	-	-	-	-	-	-	-	13	12	31	6	1	1	1	1	1	1	1	1	2	1
Strata Painters Dandenong		-	-	-	-	-	-	-	-	-	-	-	-	12	10	16	3	5	3	3	3	3	1	1	2	3	2
Strata Painters Frankston		-	-	-	-	-	-	-	-	-	-	-	-	5	10	16	3	3	2	2	1	2	2	3	3	6	2
Strata Painters Mornington		-	-	-	-	-	-	-	-	-	-	-	-	5	5	7	2	1	1	1	1	1	1	4	4	7	4
Strata Painters Albert Park		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	2	1	1	1	1	1	2	3	4	3
Strata Painters Middle Park		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	1	2	1	1	3	3	3	1
Strata Painters Carlton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	1	1	1	1	1	1	3	3	3	2
Strata Painters Collingwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	7	2	1	1	1	1	3	2	3	1
Strata Painters Parkville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	2	2	1
Strata Painters Footscray		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	12	4	6	1	2	2	3	2	5	3
Strata Painters Flemington		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1	1	1	1	1	1	1	1	1
Strata Painters Glen Huntly		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	2	1	1	1	1	1	1	1	2	2
Strata Painters Fitzroy		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	4	1	1	1	1	3	3	6	6	4
Strata Painters Elwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	1	1	1	1	1	1	3	4	5	4
Strata Painting Services Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	5	4	4	3	2	3	6	8	11	5
Body Corporate Painters Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	94	24	36	19	19	19	18	24	23	35	36	28
Commercial Building Painters		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	59	37	30	34	15	19	19	45	-	41	44
School Painters Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	3	2	2	2	2	1	2	3	3	3
Commercial Painting Companies Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	81	85	64	30	30	27	33	29	15	48	74	81	97
Painting Contractors Melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	62	94	86	82	62	68	48	49	42	62	78	96	-
Commercial Painters		-	-	-	-	-	-	-	-	-	-	-	-	-	41	46	38	50	37	38	45	23	18	-	-	-	-
Healthcare Painters		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3	1	1	1	1	2	1	3	3	3	3
Commercial Painters for Schools		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2	2	2	2	5	3	3	37	3
Commercial Painters for Owners Corp		-	-	-	-	-	-	-	-	-	-	-	-	-	58	57	1	1	1	1	1	1	1	1	3	6	2
