		2023-07-05	2023-07-22	2023-08-17	2023-09-06	2023-09-20	2023-09-25	2023-10-02	2023-10-24	2023-11-17	2023-12-14	2024-01-19	2024-02-14	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-07-26	2024-08-16	2024-09-20	2024-10-18	2024-11-14
refrigerated cooling and heating solutions mulgrave		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions northcote		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions richmond		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions rowville		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
refrigerated cooling and heating solutions springvale		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
refrigerated cooling and heating solutions st kilda		-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
hydronic heating hawthorn		-	-	7	5	7	6	6	6	5	4	4	3	3	3	3	3	3	2	3	3	4	3
hydronic heating richmond		-	-	6	3	4	4	5	6	6	5	5	6	5	5	5	4	6	6	5	6	6	4
hydronic heating brunswick		-	-	5	5	7	7	6	6	5	5	5	5	5	1	5	4	4	4	4	4	5	3
hydronic heating bentleigh		-	-	7	4	5	5	5	6	5	2	5	4	4	3	1	1	1	3	1	3	4	1
hydronic heating brighton		-	-	8	9	9	9	9	11	10	5	8	8	7	1	1	1	1	1	8	1	2	2
hydronic heating camberwell		-	-	12	9	10	10	9	9	8	7	6	5	7	6	6	6	6	4	6	6	8	8
hydronic heating blackburn		-	-	4	4	4	3	4	5	5	5	5	1	1	1	1	1	1	1	1	3	4	4
hydronic heating st kilda		-	-	8	5	4	5	5	4	4	3	3	3	1	2	1	2	2	2	2	1	2	1
