		2022-06-24	2022-07-15	2022-08-18	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-13	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2023-12-27	2024-01-19	2024-02-15	2024-03-13	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Accounts Receivable Services Florida		-	-	-	1	1	2	1	3	3	3	3	3	3	3	3	5	34	11	15	15	18	17	12	6	13	3	4	12	16	10	11
Accounts Receivable Services California		-	-	-	1	1	1	-	1	1	1	1	2	1	1	2	3	4	3	3	3	3	5	2	2	2	2	2	2	8	3	7
Accounts Receivable Services Massachusetts		-	-	-	1	1	1	-	1	1	1	1	1	2	1	1	2	40	3	8	4	5	5	6	3	3	5	7	3	8	12	7
Accounts Receivable Services New Jersey		-	-	-	-	1	-	-	2	2	1	1	1	1	1	1	1	21	1	3	3	4	2	3	1	3	3	2	2	3	11	14
Accounts Receivable Services Chicago		-	-	-	2	2	-	-	3	3	3	3	3	3	3	4	2	2	4	6	7	8	8	3	3	3	2	9	1	1	3	2
Accounts Receivable Services Colorado		-	-	-	2	1	1	1	1	1	1	1	1	1	1	1	2	1	4	5	8	4	1	2	1	1	1	2	1	7	1	7
accountants new york city		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32	46	62	63	56	72	69	-	66	52	74	84	-	-	-
accountants buffalo		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	54	62	76	61	66	73	69	55	71	87	74	59	87	76	-
accountants rochester		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	68	80	75	74	79	-	-	92	-	85	-	-	-	-
accountants yonkers		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	10	10	13	29	12	17	20	14	19	19	26	22	23	25
accountants brooklyn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57	70	29	24	34	32	32	34	54	37	58	62	72	88	-
accountants jacksonville		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	61	46	70	72	77	73	86	72	72	-	76	72	71	82	78
accountants miami		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57	83	74	64	87	-	-	64	76	-	-	82	-	-	-
accountants tampa		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57	52	53	70	59	64	-	-	66	70	63	77	-	-
accountants orlando		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	77	63	71	66	77	-	76	85	74	-	-	-	-	-
accountants st petersburg		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	53	38	40	49	52	47	44	93	75	79	57	58	67	87	77
accountants hialeah		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	16	14	17	19	17	10	43	18	25	43	18	20	18
accountants los angeles		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	44	40	68	64	70	61	-	51	55	31	73	89	-	-	-
accountants san diego		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	57	65	70	67	-	78	60	63	60	69	77	-	-	-
accountants san jose		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	30	50	34	42	39	45	46	52	43	38	39	46	53	79	84
accountants san fransisco		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	92	82	58	90	-	-	-
accountants fresno		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	37	47	52	53	61	47	49	52	62	50	70	74	81	74	85
accountants sacramento		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	58	54	67	61	59	71	60	65	60	66	59	82	90	-	-
