		2021-11-30	2021-12-16	2022-01-20	2022-02-18	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-15	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-07	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
Roof Repairs Beaumaris		15	14	11	7	5	5	6	4	3	3	1	2	1	1	2	2	2	2	2	3	3	5	4	5	2	2	2	2	2	2	2	1	1	1	2	2	1
Roof Repairs Hampton		-	-	-	-	12	13	11	9	12	13	8	7	7	-	10	9	9	9	7	6	6	8	6	3	35	7	8	5	7	6	1	1	1	1	1	2	3
Roof Repairs Sandringham		56	-	-	30	6	7	5	3	2	1	2	2	1	1	2	2	3	3	3	1	6	3	3	3	2	2	2	2	2	2	1	1	2	2	1	1	1
Roof Repairs Black Rock		-	71	-	62	15	4	4	3	3	3	5	4	2	2	2	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Roof Repairs Parkdale		-	-	-	54	8	8	9	5	8	5	4	5	4	5	4	4	4	3	5	3	4	3	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1
Roof Repairs Caulfield		-	-	-	76	25	23	26	11	13	12	10	10	11	9	9	9	10	9	9	9	9	9	14	13	10	6	7	6	7	4	6	6	6	6	4	6	7
Roof Repairs Carnegie		-	-	-	56	10	11	9	8	7	1	3	8	6	7	7	7	7	9	9	11	13	12	11	12	10	9	10	11	10	9	6	6	5	6	6	8	7
Roof Repairs Heatherton		-	-	-	23	14	4	2	1	2	3	3	3	2	2	3	2	4	2	3	4	6	5	4	5	3	4	7	3	4	3	1	3	1	1	1	1	1
Roof Repairs Mordialloc		-	-	-	44	15	8	9	5	6	3	2	3	3	3	2	4	4	6	5	5	7	9	11	10	8	9	8	9	10	4	6	5	4	4	5	5	4
Plumber Brighton		-	-	-	-	-	-	-	-	31	41	23	14	26	33	34	45	52	47	47	50	-	64	93	99	15	-	30	5	6	6	7	57	13	-	-	-	-
Hot Water Service Brighton		-	-	-	-	-	-	-	-	4	4	3	3	3	3	4	3	3	3	2	3	3	6	5	9	6	7	4	3	2	2	2	2	2	2	3	3	3
Blocked Drains Brighton		-	-	-	-	-	-	-	-	19	6	5	5	4	5	8	8	12	12	9	17	17	5	5	5	3	3	3	3	3	2	2	6	8	2	2	2	5
Roof Repairs Brighton		-	-	-	-	-	-	-	-	47	54	10	10	13	12	11	10	8	9	12	35	52	13	13	12	13	9	8	7	8	7	6	5	6	3	4	3	11
