		2022-09-27	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-04-27	2023-05-17	2023-06-15	2023-07-06	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-02-25	2024-03-06	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-17	2024-10-18	2024-11-14	2024-12-04
family lawyers bondi junction		-	-	10	8	18	9	9	9	7	9	7	6	7	6	5	6	5	7	7	5	7	4	4	5	7	7	8	9	12	11
family lawyers chatswood		-	-	7	7	21	12	8	9	8	5	5	5	5	6	5	5	6	6	5	6	6	5	6	7	5	5	7	6	7	5
family lawyers crows nest		-	-	5	5	10	4	5	5	4	4	4	4	4	4	4	4	5	4	4	3	3	2	2	4	3	3	4	4	3	3
family lawyers double bay		-	-	5	6	19	5	5	6	6	6	5	5	7	6	7	8	7	7	7	6	9	7	8	8	7	9	9	13	12	8
family lawyers Central Coast		-	-	19	18	88	21	24	34	27	29	33	36	-	-	-	37	-	90	99	89	51	87	32	91	-	34	41	36	45	39
family lawyers Burwood		-	-	7	7	27	8	8	6	6	6	5	6	6	3	5	2	2	3	4	4	4	3	2	4	3	4	6	7	4	9
family lawyers neutral bay		-	-	6	3	12	6	4	5	5	5	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1
family lawyers north sydney		45	43	12	13	18	32	36	52	46	45	43	40	54	-	24	15	15	16	15	13	15	14	11	10	14	11	15	17	16	17
family lawyers Mosman		-	-	3	4	16	13	13	20	11	11	10	13	8	4	4	4	4	5	5	4	4	4	4	4	4	4	3	3	3	3
family lawyers parramatta		-	-	32	21	-	17	18	28	24	28	24	28	32	30	27	24	26	26	24	23	27	41	26	36	52	37	36	36	36	32
family lawyers randwick		-	-	7	4	5	5	4	3	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	2	2	2	2	2	3	2
family lawyers rose bay		-	-	1	1	9	2	1	1	1	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2
family lawyers st leonards		-	-	16	13	20	3	5	4	4	4	4	4	4	2	4	3	4	3	3	4	3	4	3	5	4	4	6	5	5	4
family lawyers Manly		-	-	7	6	6	4	4	5	5	5	5	5	4	5	3	3	4	4	5	5	4	6	5	6	5	5	9	7	6	5
property settlement lawyers bondi junction		-	-	1	1	11	1	1	4	1	1	2	1	3	1	1	2	3	2	2	2	5	2	2	4	5	6	8	8	13	13
property settlement lawyers chatswood		-	-	1	1	25	1	1	2	1	1	1	2	2	1	2	1	1	1	1	1	2	2	2	2	3	4	6	8	10	7
property settlement lawyers crows nest		-	47	1	1	4	2	2	2	2	2	2	2	2	1	2	3	3	2	1	1	2	1	1	1	1	2	2	2	2	2
property settlement lawyers double bay		-	-	1	1	19	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	2	4	4	5	5	5
property settlement lawyers Central Coast		-	-	5	5	61	28	14	15	14	12	11	14	16	14	24	14	48	63	78	49	55	51	91	-	14	61	53	53	42	36
property settlement lawyers Burwood		-	-	1	1	10	1	1	1	1	1	1	2	-	-	-	-	-	-	-	-	-	-	-	3	3	-	28	31	32	32
property settlement lawyers neutral bay		-	-	1	1	7	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
property settlement lawyers north sydney		53	45	2	2	14	3	6	6	6	7	6	6	7	7	3	3	3	2	2	3	7	4	5	5	5	7	11	16	17	16
property settlement lawyers Mosman		-	-	1	1	10	5	8	8	5	5	7	5	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2
property settlement lawyers parramatta		-	-	4	5	42	21	10	10	11	11	7	11	-	5	-	17	-	71	71	53	54	-	58	-	62	76	26	24	34	31
property settlement lawyers randwick		-	-	1	1	6	2	2	3	3	3	3	2	2	1	1	2	3	3	3	3	3	4	4	4	4	3	4	4	4	4
property settlement lawyers rose bay		-	-	1	1	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2
property settlement lawyers st leonards		-	-	3	5	8	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	1	1	1	1	1	2	2	3	2
property settlement lawyers Manly		-	-	1	1	8	5	1	1	1	1	1	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	25	44	27
