		2023-08-08	2023-09-15	2023-10-20	2023-11-17	2023-11-22	2023-12-13	2024-01-19	2024-02-07	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
blinds caulfield		-	-	39	32	34	33	39	39	33	7	5	4	6	6	8	9	14
blinds auburn		-	-	91	80	78	85	14	15	16	12	9	13	15	7	9	9	17
security doors airport west		-	-	12	8	8	7	4	4	5	2	2	2	1	2	3	6	3
security doors abbotsford		-	-	2	1	1	1	1	1	1	1	1	1	1	1	24	1	1
security doors brighton		-	-	43	3	3	3	3	3	3	3	3	3	4	6	8	9	5
security doors brooklyn		-	-	6	5	4	5	2	1	2	1	1	1	1	1	1	1	1
security doors brunswick		-	-	31	14	13	15	14	11	9	8	12	10	11	13	15	13	12
security doors canterbury		-	-	10	6	7	8	6	7	6	5	5	5	6	6	6	24	20
security doors coburg north		6	4	4	5	5	2	5	5	3	3	3	3	4	3	3	7	4
security doors doncaster		-	-	11	12	12	13	12	11	12	12	12	11	7	7	13	21	15
security doors elwood		-	-	1	1	1	1	1	1	1	1	1	1	1	1	2	3	3
security doors newport		-	-	18	6	6	6	3	4	2	1	1	1	1	1	5	2	5
security doors preston		-	-	20	8	6	7	5	3	2	2	2	2	2	2	2	15	3
security doors richmond		-	-	31	7	7	6	5	5	3	1	1	1	1	1	2	2	2
security doors thornbury		-	-	4	4	4	4	3	3	3	3	3	3	3	3	3	3	4
security doors windsor		-	-	8	7	6	5	3	3	2	2	2	3	3	1	1	2	4
security doors hampton		-	-	32	4	3	3	2	1	2	1	1	1	1	1	2	2	2
security doors maidstone		-	-	4	3	3	3	3	3	2	3	3	3	3	3	3	4	5
security doors burnley		-	-	1	1	1	1	1	1	1	1	1	1	1	1	2	7	2
security doors camberwell		-	-	22	12	14	14	10	10	10	7	7	4	4	4	6	9	7
security doors caulfield		-	-	7	3	3	3	3	4	3	3	3	3	3	3	6	7	5
security doors auburn		-	-	1	1	1	2	3	3	1	1	3	1	2	2	2	1	1
blinds box hill		-	-	-	-	-	-	-	-	35	13	16	14	16	16	19	22	22
blinds bundoora		-	-	-	-	-	-	-	-	30	9	9	8	4	4	7	5	7
blinds caroline springs		-	-	-	-	-	-	-	-	6	7	6	8	20	8	11	15	14
blinds eltham		-	-	-	-	-	-	-	-	55	15	9	9	8	10	16	16	18
blinds frankston		-	-	-	-	-	-	-	-	-	25	23	17	29	37	36	39	40
blinds geelong		-	-	-	-	-	-	-	-	-	53	50	60	52	50	70	65	32
blinds mill park		-	-	-	-	-	-	-	-	22	10	9	8	8	7	13	9	9
blinds mornington		-	-	-	-	-	-	-	-	64	78	38	44	60	48	62	80	84
blinds taylors lakes		-	-	-	-	-	-	-	-	27	4	3	2	2	2	2	4	7
fly screens box hill		-	-	-	-	-	-	-	-	17	4	3	3	2	3	1	2	1
fly screens bundoora		-	-	-	-	-	-	-	-	5	2	2	2	2	3	3	2	5
fly screens caroline springs		-	-	-	-	-	-	-	-	6	4	3	1	1	1	1	2	1
fly screens eltham		-	-	-	-	-	-	-	-	7	7	3	3	4	2	4	6	4
fly screens frankston		-	-	-	-	-	-	-	81	17	9	5	3	2	4	7	10	15
fly screens geelong		-	-	-	-	-	-	-	-	26	17	12	8	11	12	19	20	19
fly screens mill park		-	-	-	-	-	-	-	-	4	1	1	1	1	1	1	3	3
fly screens mornington		-	-	-	-	-	-	-	-	23	12	11	8	10	12	21	19	22
fly screens taylors lakes		-	-	-	-	-	-	-	-	4	1	1	1	1	1	1	4	5
plantation shutters abbotsford		-	-	-	-	-	-	-	7	2	2	3	3	5	4	13	5	12
plantation shutters airport west		-	-	-	-	-	-	-	12	14	8	10	8	7	6	5	8	7
plantation shutters auburn		-	-	-	-	-	-	-	27	18	20	19	19	15	15	14	15	14
plantation shutters box hill		-	-	-	-	-	-	-	-	9	22	21	9	9	12	14	17	19
plantation shutters brighton		-	-	-	-	-	-	-	57	64	52	25	43	13	65	17	18	16
plantation shutters brooklyn		-	-	-	-	-	-	-	3	5	1	3	2	1	1	1	18	3
plantation shutters brunswick		-	-	-	-	-	-	-	14	14	10	9	13	14	7	12	16	20
plantation shutters bundoora		-	-	-	-	-	-	-	-	10	10	4	3	6	4	7	7	6
plantation shutters burnley		-	-	-	-	-	-	-	5	1	1	1	1	1	1	1	8	1
plantation shutters camberwell		-	-	-	-	-	-	-	33	25	26	8	9	27	23	29	19	16
plantation shutters canterbury		-	-	-	-	-	-	-	9	9	12	3	5	14	13	12	6	9
plantation shutters caroline springs		-	-	-	-	-	-	-	-	19	5	4	6	8	5	8	10	8
plantation shutters caulfield		-	-	-	-	-	-	-	34	18	7	12	8	12	12	15	17	12
plantation shutters coburg north		-	-	-	-	-	-	-	8	5	4	7	9	3	3	4	7	10
plantation shutters doncaster		-	-	-	-	-	-	-	21	27	17	5	4	17	7	8	9	6
plantation shutters eltham		-	-	-	-	-	-	-	-	9	17	9	8	19	14	16	14	18
plantation shutters elwood		-	-	-	-	-	-	-	10	3	3	8	9	9	4	4	4	8
plantation shutters frankston		-	-	-	-	-	-	-	-	24	21	7	5	27	25	5	20	20
plantation shutters geelong		-	-	-	-	-	-	-	-	89	63	57	16	16	17	14	16	21
plantation shutters hampton		-	-	-	-	-	-	-	80	13	57	52	7	6	10	12	11	14
plantation shutters maidstone		-	-	-	-	-	-	-	8	7	4	12	1	1	1	1	3	2
plantation shutters mill park		-	-	-	-	-	-	-	-	21	17	8	6	8	6	8	13	13
plantation shutters mornington		-	-	-	-	-	-	-	-	16	12	11	10	18	15	16	33	34
plantation shutters newport		-	-	-	-	-	-	-	10	8	10	6	5	10	5	6	8	11
plantation shutters preston		-	-	-	-	-	-	-	16	18	13	6	6	19	4	7	17	7
plantation shutters richmond		-	-	-	-	-	-	-	73	43	50	49	8	36	16	11	11	17
plantation shutters taylors lakes		-	-	-	-	-	-	-	-	18	4	3	3	4	3	7	9	7
plantation shutters thornbury		-	-	-	-	-	-	-	14	8	2	8	9	8	3	4	-	4
plantation shutters windsor		-	-	-	-	-	-	-	40	14	13	11	3	3	3	2	2	1
roller shutters abbotsford		-	-	-	-	-	-	-	9	1	1	1	2	1	1	4	15	10
roller shutters airport west		-	-	-	-	-	-	-	14	12	9	7	8	8	2	7	7	7
roller shutters auburn		-	-	-	-	-	-	-	22	2	2	2	2	2	2	2	2	3
roller shutters box hill		-	-	-	-	-	-	-	-	29	5	19	17	5	4	5	9	3
roller shutters brighton		-	-	-	-	-	-	-	76	49	13	5	4	9	12	15	4	10
roller shutters brooklyn		-	-	-	-	-	-	-	13	9	2	6	2	1	2	2	4	5
roller shutters brunswick		-	-	-	-	-	-	-	17	12	5	4	9	4	4	4	4	2
roller shutters bundoora		-	-	-	-	-	-	-	-	24	15	14	8	8	10	9	9	11
roller shutters burnley		-	-	-	-	-	-	-	15	5	4	1	1	1	1	1	1	1
roller shutters camberwell		-	-	-	-	-	-	-	41	13	2	7	1	1	1	1	1	5
roller shutters canterbury		-	-	-	-	-	-	-	10	9	6	1	1	1	1	1	12	5
roller shutters caroline springs		-	-	-	-	-	-	-	-	27	26	8	8	28	22	10	18	9
roller shutters caulfield		-	-	-	-	-	-	-	21	2	1	14	1	1	1	1	1	1
roller shutters coburg north		-	-	-	-	-	-	-	15	4	5	5	5	5	5	8	7	8
roller shutters doncaster		-	-	-	-	-	-	-	82	14	11	8	2	2	2	3	3	4
roller shutters eltham		-	-	-	-	-	-	-	-	18	4	13	2	2	2	2	3	4
roller shutters elwood		-	-	-	-	-	-	-	9	8	5	3	1	3	3	4	3	2
roller shutters frankston		-	-	-	-	-	-	-	-	34	21	21	19	18	13	18	18	14
roller shutters geelong		-	-	-	-	-	-	-	-	77	34	14	13	33	51	19	19	20
roller shutters hampton		-	-	-	-	-	-	-	17	17	6	5	5	5	5	7	5	8
roller shutters maidstone		-	-	-	-	-	-	-	14	11	5	4	1	5	7	7	6	5
roller shutters mill park		-	-	-	-	-	-	-	-	26	16	14	21	18	4	4	5	16
roller shutters mornington		-	-	-	-	-	-	-	-	56	31	8	7	29	18	10	12	12
roller shutters newport		-	-	-	-	-	-	-	23	2	5	4	4	4	2	2	3	2
roller shutters preston		-	-	-	-	-	-	-	73	7	18	8	9	21	23	17	8	17
roller shutters richmond		-	-	-	-	-	-	-	45	3	2	2	8	2	2	3	7	9
roller shutters taylors lakes		-	-	-	-	-	-	-	-	6	7	5	5	2	4	5	6	6
roller shutters thornbury		-	-	-	-	-	-	-	16	4	2	3	4	4	3	4	2	4
roller shutters windsor		-	-	-	-	-	-	-	32	1	2	2	1	1	26	1	1	1
security doors box hill		-	-	-	-	-	-	-	-	35	7	7	7	5	5	3	5	4
security doors bundoora		-	-	-	-	-	-	-	-	12	5	3	3	3	3	4	5	5
security doors caroline springs		-	-	-	-	-	-	-	-	10	9	7	7	7	5	8	8	8
security doors eltham		-	-	-	-	-	-	-	-	7	5	6	4	3	3	4	4	5
security doors frankston		-	-	-	-	-	-	-	-	12	10	8	9	9	16	12	18	20
security doors geelong		-	-	-	-	-	-	-	-	23	22	22	14	14	15	25	22	23
security doors mill park		-	-	-	-	-	-	-	-	8	7	5	5	6	6	7	7	13
security doors mornington		-	-	-	-	-	-	-	-	16	15	15	11	11	11	11	10	11
security doors taylors lakes		-	-	-	-	-	-	-	-	5	5	7	5	5	4	6	6	4
awnings abbotsford		-	-	-	-	-	-	-	9	1	3	4	1	1	1	2	1	4
awnings airport west		-	-	-	-	-	-	-	13	3	3	10	11	10	11	10	10	11
awnings auburn		-	-	-	-	-	-	-	14	1	10	7	1	1	1	1	1	3
awnings box hill		-	-	-	-	-	-	-	-	6	28	6	6	37	31	6	7	10
awnings brighton		-	-	-	-	-	-	-	71	8	20	10	9	28	44	16	12	14
awnings brooklyn		-	-	-	-	-	-	-	48	9	4	1	1	10	8	8	2	2
awnings brunswick		-	-	-	-	-	-	-	20	13	14	4	3	4	13	5	5	5
awnings bundoora		-	-	-	-	-	-	-	-	15	1	1	1	1	6	8	1	1
awnings burnley		-	-	-	-	-	-	-	4	1	5	1	3	3	2	16	12	20
awnings camberwell		-	-	-	-	-	-	-	22	4	4	4	14	22	23	27	28	24
awnings canterbury		-	-	-	-	-	-	-	20	11	8	3	3	10	9	3	16	4
awnings caroline springs		-	-	-	-	-	-	-	-	12	3	3	3	6	3	3	4	5
awnings caulfield		-	-	-	-	-	-	-	28	25	19	16	22	16	22	17	27	19
awnings coburg north		-	-	-	-	-	-	-	16	9	4	9	10	12	3	3	8	7
awnings doncaster		-	-	-	-	-	-	-	18	19	26	11	15	3	4	6	6	5
awnings eltham		-	-	-	-	-	-	-	-	6	22	11	11	5	6	6	6	7
awnings elwood		-	-	-	-	-	-	-	14	8	2	3	2	2	4	3	13	4
awnings frankston		-	-	-	-	-	-	-	-	38	26	7	6	7	6	9	9	13
awnings geelong		-	-	-	-	-	-	-	-	66	59	17	17	92	60	-	85	22
awnings hampton		-	-	-	-	-	-	-	58	5	5	3	5	4	5	4	5	5
awnings maidstone		-	-	-	-	-	-	-	7	1	16	3	1	1	2	2	-	19
awnings mill park		-	-	-	-	-	-	-	-	2	1	7	8	9	11	11	4	2
awnings mornington		-	-	-	-	-	-	-	-	61	63	54	10	11	9	11	22	22
awnings newport		-	-	-	-	-	-	-	7	2	5	2	2	4	5	5	4	3
awnings preston		-	-	-	-	-	-	-	18	13	10	2	2	2	2	2	2	-
awnings richmond		-	-	-	-	-	-	-	55	18	22	7	4	18	25	51	53	7
awnings taylors lakes		-	-	-	-	-	-	-	-	2	2	4	2	2	2	2	5	3
awnings thornbury		-	-	-	-	-	-	-	11	11	3	3	3	3	3	3	3	3
awnings windsor		-	-	-	-	-	-	-	78	77	14	3	2	3	51	2	3	2
