		2021-02-18	2021-03-17	2021-04-15	2021-05-14	2021-06-07	2021-07-15	2021-07-28	2021-08-24	2021-09-16	2021-10-23	2021-11-18	2021-12-16	2022-01-20	2022-02-18	2022-03-18	2022-04-22	2022-05-18	2022-06-14	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2024-02-13
minor car service kingsgrove		1	1	1	1	1	1	1	1	1	1	1	2	2	3	2	2	2	2	4	4	3	3	2	2
minor car service kogarah		1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2
minor car service mascot		2	2	2	2	1	1	3	1	2	1	12	8	3	11	3	11	5	7	6	8	7	6	6	3
minor car service peakhurst		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
minor car service rockdale		2	2	2	1	2	2	1	1	2	2	1	4	4	4	3	5	4	6	5	5	6	5	6	1
pink slip bexley		4	5	5	4	4	3	4	4	2	4	3	4	3	4	3	3	3	3	3	3	4	5	6	10
pink slip blakehurst		3	5	3	4	5	4	6	4	4	5	8	4	3	5	5	9	10	4	6	5	5	4	5	5
pink slip botany		4	5	5	4	5	6	7	6	8	5	4	5	4	11	11	23	20	18	19	19	30	30	30	18
pink slip caringbah		22	27	27	25	27	22	19	12	11	20	16	17	10	40	16	34	15	15	17	19	20	19	20	23
pink slip hurstville		19	21	19	17	20	9	10	10	13	13	10	13	12	21	17	28	30	32	24	25	27	26	13	25
4wd mechanic bexley		1	1	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	2	2	1	1	1	1
4wd mechanic blakehurst		3	3	4	6	5	5	6	4	2	2	5	4	2	1	1	1	1	1	1	1	1	1	1	2
4wd mechanic botany		6	6	8	10	6	10	9	6	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4wd mechanic caringbah		14	14	13	11	11	10	12	4	6	4	2	2	2	2	2	2	2	1	1	1	1	1	1	1
4wd mechanic hurstville		3	3	3	4	3	3	3	2	2	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
4wd mechanic kingsgrove		4	5	4	5	5	4	3	4	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4wd mechanic kogarah		4	2	2	3	4	4	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
4wd mechanic mascot		4	3	6	7	8	6	4	4	4	4	2	2	1	1	1	1	1	1	1	1	1	1	1	2
4wd mechanic peakhurst		1	1	1	1	2	2	2	1	1	1	2	1	1	1	1	1	2	1	1	1	1	1	1	1
4wd mechanic penshurst		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4wd mechanic rockdale		4	3	4	3	3	4	2	3	2	4	4	3	1	2	3	1	1	1	1	1	1	1	1	1
4wd mechanic taren point		13	10	7	7	7	7	4	3	3	4	4	4	4	4	4	3	3	3	3	3	2	3	2	3
4wd service bexley		1	1	1	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	2	2	1
4wd service blakehurst		2	2	3	4	3	3	4	3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4wd service botany		12	3	16	10	6	4	4	4	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4wd service caringbah		15	16	10	11	21	20	16	4	6	4	2	2	2	2	2	2	2	1	2	2	2	2	2	2
4wd service hurstville		2	3	3	3	3	2	2	2	2	2	1	1	2	1	1	2	1	1	1	1	1	1	1	1
4wd service kingsgrove		3	3	3	1	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4wd service kogarah		4	2	1	2	3	3	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
4wd service mascot		11	15	15	7	15	14	4	17	11	11	7	6	1	5	3	1	1	1	1	1	1	1	1	2
4wd service peakhurst		1	1	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4wd service penshurst		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4wd service rockdale		4	4	4	3	4	3	3	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1
4wd service taren point		9	10	5	6	7	7	6	7	4	4	4	4	7	4	4	3	3	3	3	3	3	3	3	4
4x4 mechanics bexley		1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4x4 mechanics blakehurst		3	2	3	3	3	1	2	3	2	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1
4x4 mechanics botany		13	3	4	5	6	8	8	7	4	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4x4 mechanics caringbah		6	8	4	5	7	6	5	3	3	2	1	1	2	1	1	1	1	1	1	1	1	1	1	1
4x4 mechanics hurstville		2	2	3	3	3	2	2	2	2	3	3	1	1	1	1	2	1	1	1	1	1	1	1	1
4x4 mechanics kingsgrove		3	3	3	3	2	2	3	3	3	6	4	1	1	1	1	1	1	1	1	1	1	1	1	1
4x4 mechanics kogarah		1	1	1	3	2	3	3	3	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1
4x4 mechanics mascot		3	3	5	5	5	5	2	2	4	2	2	14	1	1	1	1	1	1	1	1	1	1	1	1
4x4 mechanics peakhurst		1	1	1	1	3	2	2	3	1	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1
4x4 mechanics penshurst		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
4x4 mechanics rockdale		3	4	2	2	3	3	2	3	2	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1
4x4 mechanics taren point		5	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
4x4 specialist bexley		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
4x4 specialist blakehurst		5	4	2	4	3	3	2	4	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
4x4 specialist botany		4	4	4	4	4	4	5	4	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4x4 specialist caringbah		10	11	10	8	9	10	8	5	6	4	1	2	1	2	1	1	1	1	1	1	1	1	1	1
4x4 specialist hurstville		2	3	3	3	3	2	2	2	2	2	1	1	1	1	1	2	1	1	1	1	1	1	1	1
4x4 specialist kingsgrove		3	5	1	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4x4 specialist kogarah		4	2	2	3	3	3	3	2	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
4x4 specialist mascot		4	4	4	5	4	4	2	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2
4x4 specialist peakhurst		1	1	1	1	3	1	2	3	3	2	3	1	1	1	1	2	1	1	1	1	1	1	1	1
4x4 specialist penshurst		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
4x4 specialist rockdale		4	5	5	1	3	2	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1
4x4 specialist taren point		7	6	4	5	5	4	3	3	4	3	2	3	3	2	2	2	2	2	2	2	2	2	2	3
four wheel drive mechanic bexley		2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1
four wheel drive mechanic blakehurst		4	3	3	4	5	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
four wheel drive mechanic botany		4	7	9	6	6	13	11	8	5	3	2	1	1	1	1	1	1	1	1	1	1	1	1	2
four wheel drive mechanic caringbah		12	12	13	14	11	9	8	2	3	2	1	1	2	2	2	2	2	1	1	1	1	1	1	1
four wheel drive mechanic hurstville		2	2	3	3	4	2	2	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
four wheel drive mechanic kingsgrove		9	9	9	10	9	8	7	8	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1
four wheel drive mechanic kogarah		5	5	3	4	5	1	1	4	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1
four wheel drive mechanic mascot		3	3	4	4	6	4	1	10	15	15	11	1	1	1	1	1	1	1	1	1	1	1	1	2
four wheel drive mechanic peakhurst		1	1	1	1	3	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
four wheel drive mechanic penshurst		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
four wheel drive mechanic rockdale		3	5	3	2	3	3	3	3	1	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1
four wheel drive mechanic taren point		6	7	5	5	5	4	2	3	2	3	3	2	2	3	2	3	2	2	2	2	2	2	2	2
suspension repairs bexley		3	3	3	3	3	3	2	3	3	3	3	4	2	3	4	3	3	3	1	4	4	4	2	9
suspension repairs blakehurst		5	4	4	5	9	9	8	7	7	7	5	8	5	4	5	4	4	4	4	4	3	3	3	6
suspension repairs botany		10	10	29	17	22	24	16	19	7	26	5	7	7	6	5	5	4	5	4	5	7	7	7	12
suspension repairs caringbah		20	21	25	22	25	17	15	12	15	13	9	10	9	7	7	8	9	4	6	5	6	7	8	12
suspension repairs hurstville		5	5	5	6	5	5	5	6	6	5	4	4	5	3	3	8	3	6	3	4	3	4	4	2
suspension repairs kingsgrove		5	5	7	7	7	3	2	2	2	4	2	5	5	4	3	2	3	1	3	4	5	5	3	6
suspension repairs kogarah		8	8	8	8	10	10	10	10	6	7	9	5	6	4	6	8	6	8	6	10	9	5	6	6
suspension repairs mascot		14	14	34	30	18	36	7	31	32	29	37	5	7	6	10	40	9	6	6	8	8	7	7	60
suspension repairs peakhurst		9	5	9	8	11	10	10	7	6	12	8	8	6	7	3	11	9	11	10	3	3	2	2	6
suspension repairs penshurst		5	6	6	3	9	4	4	3	3	2	5	3	3	3	3	4	4	3	3	3	6	5	4	2
suspension repairs rockdale		7	7	7	4	6	6	3	4	3	3	3	3	3	6	5	6	6	9	6	7	7	8	6	5
suspension repairs taren point		15	22	19	11	21	17	7	7	6	6	6	6	6	7	6	6	7	4	7	7	7	10	7	8
suspension upgrades bexley		1	1	1	1	1	1	2	2	2	2	2	1	1	2	2	1	2	2	2	2	2	1	1	5
suspension upgrades blakehurst		6	8	8	5	6	5	6	4	5	5	5	5	1	1	1	3	2	2	1	2	2	2	2	2
suspension upgrades botany		-	11	11	8	7	21	18	-	14	9	14	3	3	3	3	-	-	-	4	4	4	4	3	2
suspension upgrades caringbah		17	18	11	12	14	11	13	9	7	5	6	3	3	3	3	3	3	3	3	3	2	2	3	5
suspension upgrades hurstville		5	4	6	6	3	3	3	3	3	4	2	2	2	2	1	5	2	2	4	2	1	1	1	1
suspension upgrades kingsgrove		7	5	5	4	6	2	2	2	2	2	2	1	2	1	1	1	1	3	1	1	1	1	1	2
suspension upgrades kogarah		11	12	10	10	10	6	4	5	5	4	5	4	1	3	2	6	2	1	3	2	2	2	1	4
suspension upgrades mascot		-	13	17	8	10	-	5	-	-	-	-	17	20	14	-	-	-	-	12	3	4	4	3	7
suspension upgrades peakhurst		3	3	6	4	5	5	4	3	3	3	3	3	2	2	1	5	2	2	2	2	2	2	1	3
suspension upgrades penshurst		5	5	3	2	3	2	3	3	3	2	2	3	1	1	1	1	1	-	1	1	1	1	4	1
suspension upgrades rockdale		8	9	6	5	7	5	3	3	3	4	5	4	2	1	3	4	5	3	4	4	4	4	3	1
suspension upgrades taren point		15	12	29	22	16	31	10	10	12	10	10	7	6	6	5	19	8	7	8	10	8	7	6	7
bmw mechanic botany		12	12	14	21	19	12	14	14	16	7	6	7	3	3	3	3	5	3	4	5	-	4	5	3
bmw mechanic rockdale		5	9	4	2	3	3	2	3	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1
bmw mechanic taren point		13	13	12	12	13	12	6	8	10	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1
bmw service botany		16	23	24	27	33	33	32	25	14	13	10	8	4	5	4	5	6	4	5	6	3	5	5	4
bmw service mascot		13	14	15	17	14	12	8	8	8	7	7	8	5	5	5	2	6	6	5	4	3	3	4	2
bmw service rockdale		5	10	7	4	6	5	3	3	4	3	1	1	3	1	1	2	4	1	1	2	1	1	2	1
bmw service taren point		12	21	15	14	15	11	10	11	9	5	5	5	3	3	4	3	4	4	3	2	2	2	2	3
mercedes mechanic mascot		9	6	4	7	8	9	4	5	5	4	4	5	4	5	5	2	2	2	3	2	2	2	3	2
mercedes mechanic rockdale		5	7	5	4	6	5	3	3	2	2	1	1	1	1	1	1	2	2	2	2	1	1	1	1
mercedes mechanic taren point		18	17	9	12	11	11	10	9	9	3	5	3	3	4	4	6	3	4	4	4	4	4	3	1
mercedes service botany		24	30	28	36	40	42	38	30	19	13	15	21	11	9	9	6	8	12	15	9	9	12	9	3
mercedes service mascot		16	14	13	14	26	18	9	12	11	10	7	7	-	7	5	4	4	2	3	13	3	2	2	3
mercedes service rockdale		4	5	6	4	5	5	3	4	5	4	2	2	2	1	3	2	4	3	1	2	1	1	1	1
mercedes service taren point		13	15	11	12	11	12	8	8	9	8	8	5	6	6	7	3	2	2	2	2	2	2	2	3
volkswagen mechanic rockdale		9	7	8	4	13	8	4	4	5	3	3	3	2	2	2	2	3	2	2	3	3	2	3	3
volkswagen mechanic taren point		10	11	8	6	11	8	6	6	5	5	5	5	5	5	5	3	2	4	2	3	4	3	3	1
volkswagen service botany		35	40	36	39	46	48	47	39	-	20	20	14	13	11	10	14	14	11	14	18	9	14	12	4
volkswagen service mascot		29	29	28	31	31	23	17	19	22	12	11	13	6	4	4	4	6	5	6	5	5	5	5	7
volkswagen service rockdale		24	33	30	24	30	23	15	12	14	11	8	10	10	11	6	5	14	6	6	9	5	6	5	6
volkswagen service taren point		8	11	7	9	10	11	8	8	7	5	5	6	5	5	5	4	3	3	3	4	4	4	3	3
