		2021-11-18	2021-12-16	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-18	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-17	2023-06-06	2023-07-20	2023-08-17	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
truck mechanic forest lodge		1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
truck service forest lodge		1	1	1	1	1	1	1	1	2	1	2	2	1	2	2	2	1	1	1	2	2	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
car service lewisham		2	2	2	2	2	3	4	5	4	3	4	4	3	4	3	3	2	3	4	4	5	8	5	8	8	9	10	8	8	7	8	8	7	7	9	7	9
mechanic lewisham		5	7	2	2	6	8	8	6	6	6	4	3	2	3	5	5	5	5	6	6	6	8	7	7	7	7	7	8	5	5	6	8	9	9	6	-	7
pink slip lewisham		3	3	3	3	2	1	3	2	1	2	2	2	2	2	3	4	5	4	4	3	4	3	4	4	4	4	4	7	2	3	3	3	2	2	2	2	2
truck mechanic lewisham		3	2	2	2	2	1	1	1	1	2	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
truck service lewisham		1	2	2	1	1	1	1	1	2	2	1	1	1	1	2	2	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
car service summer hill		2	2	4	3	5	5	5	5	5	5	4	4	4	3	4	3	4	5	5	7	7	7	5	5	5	5	5	4	4	4	5	3	4	4	4	4	4
mechanic summer hill		3	3	5	5	5	6	4	5	5	6	3	4	4	3	1	3	4	4	4	5	4	6	5	6	4	4	6	6	4	4	5	4	4	4	4	4	6
pink slip summer hill		1	1	1	1	1	2	2	2	3	2	1	1	1	1	1	1	3	2	2	2	2	3	3	2	2	2	3	3	3	3	3	4	3	4	4	4	3
truck mechanic summer hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	2	1
truck service summer hill		1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
car service five dock		-	-	-	-	-	-	-	-	-	10	9	9	8	9	7	8	10	12	11	10	9	9	10	10	11	10	11	14	11	9	17	15	11	12	9	12	11
car service st peters		-	-	-	-	-	-	-	-	-	-	-	-	10	7	6	7	10	11	7	9	9	10	7	6	24	26	29	34	29	31	30	34	7	7	7	5	14
mechanic five dock		-	-	-	-	-	-	-	-	-	11	10	10	10	10	7	7	9	9	11	11	13	12	15	12	10	11	18	18	16	15	15	12	11	13	14	13	13
mechanic st peters		-	-	-	-	10	-	12	-	-	-	-	-	10	10	8	9	13	13	13	13	14	11	9	6	20	2	4	2	27	2	4	34	27	7	4	4	6
pink slip five dock		25	2	27	3	12	3	3	3	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	4	4
pink slip st peters		4	27	11	26	21	3	3	17	14	3	18	6	3	3	2	1	1	2	2	2	2	3	3	3	10	10	9	12	13	12	18	10	13	14	14	20	2
truck mechanic five dock		20	25	1	1	22	2	2	24	2	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	2	2	2	2	4	5	1	3	6	2	2
truck mechanic st peters		28	3	4	1	1	2	2	1	1	54	45	43	1	1	1	2	2	1	2	2	3	3	1	1	1	1	1	1	16	20	27	29	23	23	20	22	2
truck service five dock		1	1	1	1	1	-	1	1	2	2	2	2	2	2	1	1	1	4	1	1	1	1	1	1	1	1	1	3	1	1	2	2	1	1	1	1	1
truck service st peters		3	1	3	1	1	1	1	1	-	2	7	7	5	6	4	2	4	4	2	4	4	4	2	2	1	11	20	23	21	23	26	26	2	1	1	2	3
car service haberfield		4	3	4	5	5	9	8	9	10	8	7	6	4	9	9	7	8	9	10	9	8	6	4	4	9	6	6	6	7	6	6	5	3	4	4	9	5
truck service haberfield		1	1	16	1	16	1	10	1	2	2	2	2	2	2	1	1	2	2	2	2	2	1	27	1	1	1	1	1	1	1	1	11	1	11	14	6	1
car service enmore		5	6	6	8	8	5	4	4	4	4	4	3	5	7	10	9	8	10	14	11	10	10	10	8	8	8	7	7	7	7	7	8	9	11	10	14	17
pink slip enmore		8	6	7	7	7	7	7	7	6	7	6	8	6	9	6	6	7	9	4	7	5	5	4	4	5	4	4	4	3	3	3	3	2	3	3	5	6
truck service enmore		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
