		2021-11-18	2021-12-08	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-17	2022-06-15	2022-07-15	2022-08-17	2022-08-25	2022-09-07	2022-09-16	2022-10-13	2022-11-17	2022-12-15	2023-01-19	2023-02-15	2023-02-20	2023-03-16	2023-04-14	2023-05-15	2023-05-17	2023-05-29	2023-06-15	2023-07-20	2023-09-18	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-19	2024-03-15	2024-04-19	2024-05-16	2024-05-31	2024-06-11	2024-07-18	2024-08-16	2024-09-18	2024-09-24	2024-10-18	2024-11-14
loose skin removal hawthorn		-	-	-	-	-	-	-	3	3	3	3	3	5	4	2	2	2	2	2	3	-	2	2	1	2	2	-	-	7	8	8	7	6	5	6	6	6	8	9	4	4	4	4
body sculpting brighton		4	4	3	3	4	4	2	2	2	2	2	2	3	3	2	3	3	2	2	3	20	2	3	2	2	2	7	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
body sculpting hawthorn		4	3	2	2	2	6	3	2	2	2	2	2	3	3	3	4	3	3	3	3	21	3	3	3	3	3	23	12	4	2	2	2	2	2	2	2	2	2	2	2	2	2	2
body sculpting kew		2	2	2	-	2	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	5	1	1	1	1	1	17	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3
body sculpting malvern		7	6	28	4	5	4	2	2	2	2	2	2	1	1	1	2	1	1	2	3	22	3	3	3	3	4	4	7	8	7	7	8	8	7	8	9	7	6	8	8	9	6	7
body sculpting middle park		2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
body sculpting prahran		4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	2	2	15	2	2	3	3	3	8	3	4	4	3	3	4	3	3	3	3	3	3	3	3	3	4
body sculpting south melbourne		4	5	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
body sculpting south yarra		6	5	4	4	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	4	3	3	4	11	11	14	4	3	3	2	2	3	3	2	2	3	2	3	3	3
body sculpting toorak		-	2	2	2	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	1	6	3	3	3	3	3	5	8	3	3	3	3	2	2	2	2	2	2	2	2	2	4	4
Lipocel brighton		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lipocel hawthorn		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lipocel kew		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lipocel malvern		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	-	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lipocel middle park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lipocel prahran		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lipocel south melbourne		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lipocel south yarra		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Lipocel toorak		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	-	-	1	1	1	1	1	1	1	1	1	1	1	1	1	1
body contouring melbourne		13	11	16	6	7	8	7	8	6	3	3	3	5	3	3	5	4	4	5	4	-	5	4	5	5	5	6	7	11	9	9	10	11	8	9	11	9	7	8	7	5	8	8
body sculpting melbourne		36	24	24	9	5	13	9	11	8	5	5	6	8	6	5	6	5	5	5	4	-	4	4	4	4	6	18	11	21	27	23	26	34	40	53	40	33	37	37	30	15	41	18
coolsculpting melbourne		58	57	59	26	34	26	15	16	18	16	16	16	23	29	16	14	14	16	16	16	-	27	29	33	22	26	91	26	33	43	46	46	45	48	59	41	49	30	30	28	30	36	29
hifu body sculpting		31	19	25	14	14	11	13	9	10	6	6	7	12	13	13	14	11	9	7	6	-	8	8	11	11	10	-	24	45	39	47	48	-	46	46	37	25	29	29	31	25	44	21
Lipocel melbourne		3	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	2	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1
non surgical butt lift		-	-	-	37	33	48	23	15	11	4	3	3	6	7	8	8	5	7	7	6	-	9	8	7	10	25	-	30	88	44	45	81	63	53	64	39	28	35	42	33	10	13	9
stimsure melbourne		5	4	5	5	5	3	4	3	5	3	3	2	4	3	3	3	3	3	3	3	16	3	3	1	2	2	10	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
body sculpting clinic		-	-	-	31	13	18	16	10	12	8	5	3	9	12	14	12	20	4	4	6	8	5	5	4	4	7	-	17	-	23	19	21	20	21	57	63	26	35	35	22	24	34	17
butt sculpting melbourne		-	28	34	24	15	12	11	10	9	8	6	7	7	8	12	11	9	8	8	3	-	4	2	3	3	8	25	3	9	4	7	5	7	4	4	4	2	3	3	2	2	2	2
chin fat freezing		-	-	-	-	-	-	-	-	-	9	7	8	15	61	5	10	9	21	24	16	-	22	21	24	23	19	-	38	60	64	86	59	50	-	-	-	-	70	-	56	51	-	51
cryolipolysis fat freezing		-	-	-	-	-	77	14	9	11	7	9	8	10	10	11	12	10	21	30	31	-	46	47	53	48	35	-	55	-	-	-	-	-	-	-	-	-	-	-	84	75	51	34
cryolipolysis melbourne		-	43	39	32	27	28	16	15	14	9	10	9	11	18	11	11	15	15	15	14	-	16	17	17	17	23	60	30	45	28	28	33	32	34	55	42	39	34	31	23	23	35	21
fat freezing melbourne		-	62	72	42	42	36	25	17	26	13	14	14	25	27	18	15	14	14	14	12	-	16	16	16	18	22	-	36	48	34	43	40	43	57	64	55	51	40	39	34	34	34	19
fat removal melbourne		-	-	-	94	83	72	48	32	29	23	25	30	35	28	32	35	35	32	29	34	-	37	37	37	56	52	-	72	-	-	95	-	83	-	-	-	-	-	-	-	81	-	91
hifu body treatment		-	45	84	23	22	15	12	10	11	7	9	7	19	19	17	23	17	13	12	11	-	12	11	13	12	8	-	31	60	52	81	55	50	56	66	49	52	48	45	48	46	54	32
hifu face lift		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hifu stomach tightening		-	60	-	36	14	12	6	4	6	5	4	4	11	10	9	12	6	5	7	5	-	5	4	5	1	6	30	9	41	28	26	37	33	30	53	32	24	24	36	35	32	28	34
double chin removal		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
body sculpting albert park		-	2	2	2	2	2	2	1	2	4	2	2	2	2	2	2	2	2	2	2	9	2	2	2	2	2	12	2	2	3	3	2	3	3	3	2	1	2	1	1	1	1	1
cryolipolysis albert park		-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cryolipolysis hawthorn		-	6	2	3	3	3	3	3	2	1	1	1	3	1	2	3	3	3	3	3	11	3	3	3	3	2	10	12	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2
cryolipolysis kew		-	4	4	-	1	1	1	1	1	1	1	1	1	1	1	2	2	1	1	1	4	1	1	1	1	1	12	1	2	2	2	2	3	2	2	2	2	3	2	2	2	2	3
cryolipolysis malvern		-	12	5	8	5	4	3	3	2	2	2	2	2	2	2	2	2	2	2	2	17	2	2	2	2	2	3	2	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3
cryolipolysis middle park		-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
cryolipolysis prahran		-	4	3	3	3	3	4	3	2	2	2	2	1	2	2	2	2	2	2	2	-	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	3
cryolipolysis south yarra		-	9	5	5	5	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	-	4	4	4	4	3	6	8	9	4	4	4	3	3	4	4	4	4	4	5	5	4	3
cryolipolysis toorak		-	5	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5	1	1	2	1	1	2	2	3	3	3	3	3	3	3	3	3	2	3	2	1	1	2
lipocel albert park		-	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
non surgical liposuction albert park		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1
non surgical liposuction brighton		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	1	1
non surgical liposuction hawthorn		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	1
non surgical liposuction kew		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	7	7
non surgical liposuction middle park		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	-	1
non surgical liposuction prahran		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	4	3	3
non surgical liposuction south melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	1	1	2
non surgical liposuction south yarra		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	6	4	2
non surgical liposuction toorak		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	2	2	2
