		2023-08-21	2023-09-15	2023-10-20	2023-11-17	2023-12-14	2024-01-19	2024-02-13	2024-03-15	2024-04-19	2024-05-06	2024-06-13	2024-07-19	2024-08-16	2024-09-20	2024-10-18	2024-11-14	2024-12-04
electric heating and cooling pakenham		-	-	-	-	-	-	-	-	-	-	3	5	8	19	36	36	28
electric heating and cooling richmond		-	-	-	-	-	-	-	-	-	-	1	2	2	4	9	16	23
electric heating and cooling ringwood		-	-	-	-	-	-	-	-	-	-	5	8	4	7	19	26	20
electric heating and cooling southbank		-	-	-	-	-	-	-	-	-	8	1	1	1	2	3	8	10
electric heating and cooling springvale		-	-	-	-	-	-	-	-	-	47	2	2	2	8	8	15	16
Reverse cycle heating and cooling bayswater		-	-	-	-	-	-	-	-	-	56	7	5	4	8	14	17	19
Reverse cycle heating and cooling beaconsfield		-	-	-	-	-	-	-	-	-	8	2	2	2	5	18	16	17
Reverse cycle heating and cooling berwick		-	-	-	-	-	-	-	-	-	43	4	1	1	23	21	24	30
Reverse cycle heating and cooling brighton		-	-	-	-	-	-	-	-	-	15	3	3	3	8	10	21	21
Reverse cycle heating and cooling bulleen		-	-	-	-	-	-	-	-	-	-	5	4	4	9	13	19	21
Reverse cycle heating and cooling carrum downs		-	-	-	-	-	-	-	-	-	29	4	1	3	10	19	21	23
Reverse cycle heating and cooling cheltenham		-	-	-	-	-	-	-	-	-	24	5	1	1	8	21	21	23
Reverse cycle heating and cooling cranbourne		-	-	-	-	-	-	-	-	-	56	14	3	3	8	19	28	33
Reverse cycle heating and cooling croydon		-	-	-	-	-	-	-	-	-	12	8	4	4	12	22	14	17
Reverse cycle heating and cooling warragul		-	-	-	-	-	-	-	-	-	-	3	1	1	3	5	13	11
Reverse cycle heating and cooling emerald		-	-	-	-	-	-	-	-	-	40	8	7	6	10	8	16	20
Reverse cycle heating and cooling ferntree gully		-	-	-	-	-	-	-	-	-	36	2	4	3	6	8	14	13
Reverse cycle heating and cooling frankston		-	-	-	-	-	-	-	-	-	56	24	10	9	11	23	24	20
Reverse cycle heating and cooling hallam		-	-	-	-	-	-	-	-	-	38	3	10	4	8	12	19	20
Reverse cycle heating and cooling hampton		-	-	-	-	-	-	-	-	-	32	6	3	1	7	7	22	23
Reverse cycle heating and cooling lilydale		-	-	-	-	-	-	-	-	-	27	6	4	5	10	19	21	20
Reverse cycle heating and cooling malvern		-	-	-	-	-	-	-	-	-	-	2	2	2	7	19	15	18
Reverse cycle heating and cooling moorabbin		-	-	-	-	-	-	-	-	-	32	3	2	3	11	9	16	17
Reverse cycle heating and cooling mornington		-	-	-	-	-	-	-	-	-	-	22	7	10	10	22	25	24
Reverse cycle heating and cooling narre warren		-	-	-	-	-	-	-	-	-	43	7	3	5	7	21	24	24
Reverse cycle heating and cooling pakenham		-	-	-	-	-	-	-	-	-	50	5	7	11	21	30	31	33
Reverse cycle heating and cooling richmond		-	-	-	-	-	-	-	-	-	32	6	2	3	8	15	17	18
Reverse cycle heating and cooling ringwood		-	-	-	-	-	-	-	-	-	56	7	8	7	9	22	23	21
Reverse cycle heating and cooling southbank		-	-	-	-	-	-	-	-	-	3	1	1	1	1	4	8	12
Reverse cycle heating and cooling springvale		-	-	-	-	-	-	-	-	-	22	7	2	3	6	18	11	10
air conditioning regassing melbourne		-	-	-	-	-	-	-	-	-	-	15	19	18	43	42	84	55
cool room repairs melbourne		-	-	-	-	-	-	-	-	-	-	-	17	19	27	50	58	59
display freezer repairs melbourne		-	-	-	-	-	-	-	-	-	-	-	1	1	11	30	47	43
hydronic heating repairs melbourne		-	-	-	-	-	-	-	-	-	54	56	28	26	37	46	48	58
ducted heating and cooling melbourne		-	-	-	-	-	-	-	-	-	-	-	90	73	-	-	-	-
electric heating and cooling melbourne		-	-	-	-	-	-	-	-	-	-	14	16	11	57	59	71	71
emergency refrigerator repair melbourne		-	-	-	-	-	-	-	-	-	-	-	6	1	11	22	24	30
gas heating melbourne		-	-	-	-	-	-	-	-	-	58	16	21	95	91	-	-	-
reverse cycle heating and cooling melbourne		-	-	-	-	-	-	-	-	-	-	31	39	35	65	96	-	-
walk in freezer repairs melbourne		-	-	-	-	-	-	-	-	-	-	-	1	1	5	5	14	11
wall heater repairs melbourne		-	-	-	-	-	-	-	-	-	-	-	6	9	-	24	28	32
