		2021-11-18	2021-11-30	2021-12-06	2022-01-20	2022-02-17	2022-03-18	2022-04-22	2022-05-17	2022-05-20	2022-06-15	2022-07-15	2022-08-17	2022-09-16	2022-10-13	2022-11-02	2022-12-15	2023-01-19	2023-02-16	2023-03-16	2023-04-14	2023-05-10	2023-06-15	2023-06-20	2023-07-20	2023-08-17	2023-08-29	2023-09-15	2023-10-04	2023-11-17	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-09	2024-06-19	2024-07-18	2024-08-16	2024-09-20	2024-10-18	2024-11-14
mini skip hire footscray		-	-	17	13	5	5	3	2	2	1	1	1	1	1	2	1	2	2	3	2	1	3	3	2	3	3	3	3	3	2	2	2	2	2	2	2	2	2	2	1	2
mini skip hire keilor		-	-	4	3	3	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1
mini skip hire keilor east		-	-	7	4	6	6	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
mini skip hire laverton north		-	-	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mini skip hire maidstone		-	-	49	3	5	4	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	50	1	1	1	1	1	1	1	1	1	1
mini skip hire maribyrnong		-	-	16	4	7	7	2	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	2	3	3	3	3	4	4	3	3	3	3	3	3	3	3	3	3	10	3
mini skip hire moonee ponds		-	-	14	5	6	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	3
mini skip hire taylors lakes		-	-	7	6	7	7	6	5	4	3	3	3	5	3	4	3	2	2	3	3	4	3	3	3	3	3	3	4	4	4	3	4	3	3	2	4	4	2	4	6	5
mini skip hire west footscray		-	-	24	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skip bin hire braybrook		-	-	20	6	6	5	6	4	8	3	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skip bin hire brooklyn		-	-	49	5	6	6	3	1	1	1	1	1	2	1	1	1	1	1	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skip bin hire essendon		-	-	38	27	12	12	10	4	4	4	3	2	5	2	2	2	1	1	2	2	1	2	1	1	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2
skip bin hire footscray		-	-	30	20	13	15	8	6	6	5	3	2	2	4	4	2	3	3	5	5	4	4	4	5	4	5	5	5	4	2	2	2	2	2	2	3	3	2	2	2	3
skip bin hire keilor		-	-	7	3	5	5	3	5	4	1	2	2	3	2	2	2	2	2	3	3	3	3	2	4	2	4	2	3	2	2	2	2	2	2	2	2	2	1	2	2	2
skip bin hire keilor east		-	-	10	5	9	9	5	4	7	2	2	1	3	2	2	2	2	2	2	3	3	4	3	3	2	3	2	2	1	1	1	2	1	2	3	2	1	2	3	1	2
skip bin hire laverton north		-	-	11	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skip bin hire maidstone		-	-	26	19	6	6	16	5	13	5	4	3	5	38	3	3	2	2	2	2	3	3	3	3	3	2	2	2	2	2	2	1	1	2	2	3	1	2	3	2	2
skip bin hire maribyrnong		-	-	-	7	31	8	4	4	4	5	2	2	3	2	3	2	2	2	3	5	4	4	4	4	5	6	6	6	6	4	4	4	4	4	3	4	3	3	3	3	2
skip bin hire moonee ponds		-	-	34	7	10	9	4	2	3	3	2	1	4	1	1	1	1	1	1	3	1	2	3	1	1	1	1	1	1	2	2	2	2	2	3	3	3	3	3	3	3
skip bin hire taylors lakes		-	-	5	3	5	5	5	4	4	3	3	3	3	3	2	2	3	3	3	3	3	3	3	3	-	3	3	4	5	4	4	4	4	3	3	5	5	4	6	6	4
skip bin hire west footscray		-	-	22	7	10	11	5	4	4	4	3	3	3	3	3	3	4	4	4	4	4	3	4	5	6	5	5	4	4	3	1	3	1	2	2	1	1	1	1	2	2
bin hire albanvale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bin hire caroline springs		6	6	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	2	2	2	2	3	3	3	3	2	2	2	2	3	5	2	3	4	4	3	7
bin hire deer park		7	5	5	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	3	3	3	1	1	1	2	1	2	2	2	2	2	2	2	2	1	2	2	3	3
bin hire delahey		3	3	3	1	4	4	3	3	3	2	2	1	2	1	1	1	2	1	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
bin hire derrimut		2	2	2	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2
bin hire hillside		5	4	4	1	1	1	1	1	2	1	1	2	1	1	1	1	2	2	2	3	3	2	3	3	3	3	3	2	2	3	3	3	2	3	2	3	3	2	2	1	3
bin hire hoppers crossing		7	4	2	1	2	2	2	1	1	2	2	1	2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	3	1	2	2	3	3	4	2	3	2	3	3
bin hire keilor downs		3	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bin hire kings park		1	1	1	1	1	1	1	2	1	1	2	1	2	2	2	1	1	1	1	1	2	3	2	1	1	1	2	2	1	1	1	1	1	2	2	2	1	2	2	1	1
bin hire laverton		7	5	6	1	1	1	1	2	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
bin hire melton		2	3	1	1	2	3	3	3	3	3	3	3	3	3	3	3	5	6	6	7	8	7	6	5	5	5	5	6	6	5	5	4	4	6	6	5	6	8	10	9	11
bin hire plumpton		1	1	1	1	1	6	6	6	7	1	6	5	6	5	6	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5
bin hire st albans		2	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	2	2	1	1	1	1
bin hire sunshine		6	4	4	2	2	3	3	3	2	2	2	2	3	3	3	2	2	3	3	3	3	3	3	3	3	3	3	2	1	2	1	2	2	2	1	1	2	1	2	1	1
bin hire tarneit		1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3
bin hire taylors hill		3	4	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	1	1	1	2	1	1	1	1	1	1	1	1	2	2	2	1	2
bin hire truganina		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bin hire werribee		2	2	2	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	3	2	2	2	3	3	2	4	3	3	4	4	4	4	4	4	4	4	4	4	4	3	4
skip bin hire albanvale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1
skip bin hire caroline springs		7	6	4	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	4	2	3	4	3	4	4	4	4	3	3	4	4	2	2	2	2	3	3	4	4	4
skip bin hire deer park		7	7	4	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	3	3	3	3	3	3	3	3	2	2	3	4	3	2	2	3	2	4	3	3	4	3	3
skip bin hire delahey		5	5	6	4	6	6	3	3	3	3	2	2	3	2	2	2	2	2	3	3	3	3	2	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
skip bin hire derrimut		3	2	3	2	2	2	1	2	2	1	1	1	1	1	1	1	1	1	2	2	2	2	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1	2	2	3	3
skip bin hire hillside		6	5	5	1	1	2	3	2	2	2	2	2	2	20	1	2	3	5	4	4	4	4	4	4	4	4	3	3	3	3	3	3	3	4	3	3	3	9	8	3	3
skip bin hire hoppers crossing		7	5	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	2	2	3	2	3	2	3	3	3	3	3	3	3	3	3	3	2	4	2	3
skip bin hire keilor downs		5	5	4	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	1	1	1	1	1	1	1	1	1	1	1	2	1	2
skip bin hire kings park		2	3	2	3	3	3	3	3	3	2	2	2	2	2	2	2	2	3	2	4	2	1	1	2	1	2	2	2	1	1	2	1	1	2	2	1	1	3	2	1	1
skip bin hire laverton		8	7	7	1	1	1	1	1	1	2	1	1	2	2	2	2	2	1	2	3	1	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
skip bin hire melton		3	3	2	1	2	3	3	4	3	4	3	4	7	4	3	5	6	6	8	9	8	7	6	5	5	6	7	8	7	5	5	5	7	7	7	8	9	9	8	64	7
skip bin hire plumpton		1	1	1	1	1	5	5	5	5	4	5	6	6	5	1	1	2	1	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	4
skip bin hire st albans		5	7	4	1	2	2	1	2	1	1	1	1	2	1	3	2	2	2	3	3	2	2	2	2	2	2	2	2	2	1	1	1	2	2	3	3	4	2	2	9	3
skip bin hire sunshine		4	4	3	2	3	3	3	4	4	3	2	3	3	3	3	2	3	3	4	3	3	3	4	3	2	3	3	3	1	2	1	1	1	1	1	3	3	2	2	2	3
skip bin hire tarneit		2	2	1	1	2	2	2	1	1	1	1	1	2	2	1	1	2	1	2	7	2	2	3	2	2	2	2	2	1	1	2	2	3	3	4	3	2	1	1	2	3
skip bin hire taylors hill		5	6	5	2	3	3	2	2	1	1	1	1	1	1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	1	1	2	2	2	3	3	2
skip bin hire truganina		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1
skip bin hire werribee		2	2	2	1	3	2	2	2	2	2	2	2	3	3	3	3	2	2	4	3	2	4	4	4	4	4	3	3	4	5	5	5	6	4	5	5	5	4	4	4	5
mini skip hire albanvale		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	2	1	1	1	1	1	1	1	2	2
mini skip hire caroline springs		5	5	3	1	3	3	1	1	1	1	1	1	1	1	1	1	2	1	3	3	2	2	3	2	1	3	3	3	3	2	4	3	2	3	2	2	2	2	3	3	4
mini skip hire deer park		3	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	1	1	1	2	1	1	1	2	2	1	2	1	1	2	1	2
mini skip hire delahey		4	4	4	1	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mini skip hire derrimut		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2
mini skip hire hillside		4	4	3	1	1	2	2	2	2	2	2	2	1	1	1	1	2	3	4	3	3	2	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3
mini skip hire hoppers crossing		4	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	2	2	2	2	2
mini skip hire keilor downs		3	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	2	1
mini skip hire kings park		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	3	1	1	2	1	1	1	1	3	1	1	1	1	1	1	1	1	1	2	1	2	2
mini skip hire laverton		3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mini skip hire melton		3	3	2	1	2	3	3	3	3	3	3	3	3	3	3	3	3	3	5	4	4	5	4	4	3	3	4	3	3	4	5	4	6	7	7	5	5	9	8	8	9
mini skip hire plumpton		1	1	1	1	1	1	1	1	1	1	1	4	4	4	4	4	4	3	1	3	4	4	4	7	1	1	8	1	1	1	1	1	1	1	1	1	1	1	1	1	4
mini skip hire st albans		2	3	2	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	2	2	2	1	2	2	2	1	1	1	1	1	1	1	1	1	1	1	12	1
mini skip hire sunshine		4	4	3	1	1	1	1	1	1	2	1	1	2	1	3	1	2	2	4	2	3	3	4	2	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
mini skip hire tarneit		1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	3	2	2	2	1	1	2	1	3
mini skip hire truganina		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2	2	1	1	1	1
mini skip hire werribee		2	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	2	3	3	2	2	3	3	3	3	4	4	4	4	4	4	4	4	4	4	4	4
bin hire Rockbank		4	5	5	4	4	3	3	3	3	3	2	3	3	2	2	2	3	2	2	2	2	2	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
bin hire ardeer		-	-	-	-	-	-	-	-	19	3	1	1	3	2	2	2	3	3	3	3	3	3	3	2	2	2	2	2	2	2	1	1	1	1	2	2	2	2	3	2	2
skip bin hire ardeer		-	-	-	-	-	-	-	-	11	3	2	2	3	3	2	2	4	3	4	3	3	3	3	3	-	3	3	3	3	3	2	2	2	2	2	1	2	2	3	2	2
mini skip hire ardeer		-	-	-	-	-	-	-	-	10	1	1	1	1	1	2	2	3	3	3	3	3	3	3	2	2	2	2	2	2	2	1	1	1	1	1	2	2	3	3	3	3
commercial bin hire melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	20	2	2	2	3	3	4	2	3	5	3	2	2	2	2	2	1	3	3	3	4	4	1	7	17	11	7
commercial skip bins melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	26	15	15	10	19	15	8	9	8	9	3	2	4	3	2	2	2	2	2	1	2	2	4	20	18	11	25
commercial waste management services melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	28	32	38	31	30	-	30	31	24	30	26	28	24	23	27	30	25	27	34	42	45	38	43	31	34
construction bin hire melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	7	7	5	7	6	15	12	10	16	12	12	9	8	11	2	4	4	2	2	9	10	10	24	22	15	16
construction skip bins melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	64	9	10	7	9	10	9	13	14	18	9	10	10	11	20	17	5	5	5	8	13	15	24	10	16	12	27
construction waste management services melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	23	26	28	37	20	18	29	29	28	35	36	25	31	33	26	30	26	32	36	40	46	44	41	42	44	45
industrial bin hire melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	29	3	2	12	16	14	20	11	9	10	10	10	11	7	6	7	6	7	6	1	1	5	2	3	5	19	17
industrial skip bins melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	46	11	14	9	11	11	8	9	7	11	7	7	9	6	5	4	3	3	3	2	2	4	4	4	4	5	6
residential waste management services melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	14	12	18	14	18	22	19	41	31	15	12	12	9	6	7	8	6	12	14	19	21	15	26	30	25
waste management services melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	24	24	30	29	29	38	34	37	37	28	31	29	22	29	28	28	-	27	35	31	35	34	34	32	34
bin hire broadmeadows		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	14	14	13	15	11	17
bin hire brunswick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	25	18	17	17	22	19	14
bin hire campbellfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	10	9	5	13	4	7
bin hire coburg		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	13	13	11	13	15	14
bin hire collingwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	7	5	8	7	10	10
bin hire epping		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	13	16	9	18	19	27
bin hire port melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	7	7	4	6	5	5
bin hire reservoir		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	16	11	12	13	11	10	10
bin hire thomastown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	10	12	8	10	12	7
bin hire tullamarine		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	5	5	5	7	8	9
skip bin hire broadmeadows		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24	11	12	11	10	7	12
skip bin hire brunswick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	32	13	14	13	18	16	9
skip bin hire campbellfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	21	15	17	8	9	5	10
skip bin hire coburg		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	14	13	13	14	10	16
skip bin hire collingwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	9	9	8	8	8	10	9
skip bin hire epping		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	27	19	18	13	26	24	21
skip bin hire port melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	7	7	6	6	5	6
skip bin hire reservoir		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24	17	17	15	11	9	10
skip bin hire thomastown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	8	9	7	9	12	11
skip bin hire tullamarine		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	9	10	11	11	17	7
mini skip hire broadmeadows		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	7	6	7	8	6	7
mini skip hire brunswick		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	24	10	10	10	10	10	6
mini skip hire campbellfield		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	8	6	3	6	2	6
mini skip hire coburg		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	18	10	10	10	9	3	12
mini skip hire collingwood		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	5	4	2	3	3	6
mini skip hire epping		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	8	7	7	10	9	10
mini skip hire port melbourne		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	17	6	6	5	5	5	5
mini skip hire reservoir		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	19	7	9	8	6	7	9
mini skip hire thomastown		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	6	6	5	6	7	6
mini skip hire tullamarine		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	14	7	6	8	8	5	6
