		2022-08-16	2022-09-08	2022-10-13	2022-11-16	2022-12-09	2023-01-20	2023-02-16	2023-03-16	2023-04-14	2023-05-08	2023-06-15	2023-07-11	2023-08-17	2023-09-15	2023-10-20	2023-11-10	2023-11-16	2023-12-14	2024-01-19	2024-02-15	2024-03-15	2024-04-19	2024-05-16	2024-06-13	2024-07-18	2024-08-16	2024-09-23	2024-10-18	2024-11-14
blinds berwick		-	-	-	-	21	19	17	17	16	14	13	13	26	22	12	21	9	8	13	11	11	14	14	18	23	14	12	12	11
blinds bayswater		-	-	-	-	20	22	19	19	18	16	16	18	22	24	26	27	28	26	25	24	-	18	19	20	16	13	11	11	10
blinds wantirna		-	-	-	-	70	-	9	7	5	5	5	3	4	4	4	4	4	4	4	4	5	6	7	6	4	3	3	2	3
blinds lilydale		-	-	60	58	9	9	9	9	9	6	4	5	6	5	6	6	7	8	9	9	10	10	10	9	8	7	10	8	10
blinds rowville		-	-	71	-	10	11	7	5	5	5	5	5	5	5	6	6	6	6	5	5	4	4	4	5	5	3	2	2	4
blinds beaconsfield		-	-	90	75	6	5	5	5	5	5	5	5	7	7	7	6	7	6	7	7	7	6	7	8	5	4	4	5	5
blinds selby		-	-	-	-	4	4	4	4	5	4	3	4	5	4	5	4	3	4	4	4	4	5	4	3	4	4	5	5	5
blinds cranbourne		-	-	-	-	-	17	25	23	-	15	16	21	37	37	38	26	23	27	26	26	46	42	50	37	39	42	38	28	32
blinds keysborough		-	-	-	-	9	17	15	15	13	10	12	11	14	11	14	14	14	14	9	9	8	13	11	9	9	8	8	8	7
blinds ferntree gully		3	1	3	4	4	3	3	3	3	3	3	5	5	5	5	6	6	5	5	5	5	5	5	6	5	4	4	4	4
curtains ringwood		-	-	-	-	27	31	32	8	7	7	6	8	3	8	6	4	4	3	3	2	4	5	5	6	5	8	6	6	7
curtains clyde		-	-	-	-	5	4	3	3	5	3	4	4	4	10	10	13	12	13	8	11	8	10	9	10	13	11	11	8	11
curtains pakenham		-	-	-	-	8	9	10	9	9	8	9	7	5	6	7	5	5	7	6	7	6	6	6	5	5	5	7	6	6
blinds ringwood		-	-	-	-	-	60	-	15	15	13	12	15	12	22	15	15	21	13	16	14	18	24	25	35	-	36	33	25	24
blinds clyde		-	-	-	-	16	16	14	15	14	15	13	15	18	22	27	24	26	26	21	21	18	22	19	19	16	22	17	12	13
blinds pakenham		-	-	-	-	13	19	20	19	12	13	12	10	10	10	11	10	10	9	8	8	8	-	19	20	18	19	19	19	22
Curtains Eltham		-	-	-	-	-	8	9	7	7	5	7	6	7	7	5	6	6	6	5	6	6	7	7	6	4	5	6	7	7
Curtains Cheltenham		-	-	-	-	-	-	69	95	6	6	6	6	7	11	11	11	11	12	7	7	6	6	7	11	8	8	6	6	8
Curtains Dandenong		-	-	-	-	-	-	-	88	14	16	16	15	16	16	15	14	14	14	8	10	9	8	10	8	10	11	10	11	16
Curtains Mornington Peninsula		-	-	-	-	-	17	78	67	67	67	13	13	27	26	16	16	16	18	16	19	19	17	20	26	29	25	21	24	26
Curtains Epping		-	-	-	-	-	-	-	90	13	13	12	10	10	13	12	14	13	13	14	14	14	15	13	14	15	14	14	9	10
Curtains Rosebud		-	-	-	-	-	7	7	7	6	8	6	6	7	9	10	9	9	12	9	10	9	9	9	10	10	10	10	7	10
Curtains Moorabbin		-	-	-	-	-	8	52	7	44	32	7	5	6	10	10	9	11	10	10	11	11	10	13	9	5	4	4	5	6
Curtains Frankston		-	-	-	-	-	70	74	11	10	10	11	10	12	12	12	13	12	12	14	14	13	14	15	14	11	14	11	13	13
Curtains Traralgon		-	-	-	-	-	8	8	7	7	7	6	7	8	10	11	9	11	9	11	11	7	7	6	7	8	9	7	9	9
Curtains Brighton		-	-	-	-	-	12	11	11	9	-	8	10	9	11	14	13	13	15	16	15	14	14	16	17	23	14	15	17	15
Curtains Clayton		-	-	-	-	-	-	-	5	5	5	5	5	8	7	7	9	7	9	10	11	11	7	6	5	5	6	2	3	8
Curtains Doncaster		-	-	-	-	59	64	64	52	60	12	12	12	10	11	8	9	8	9	13	11	11	13	15	12	9	9	10	10	12
Blinds Eltham		-	-	-	-	-	10	73	10	7	7	8	9	11	11	14	9	8	8	8	8	7	9	10	15	9	8	8	9	9
Blinds Cheltenham		-	-	-	-	-	14	-	-	-	64	11	11	15	22	20	17	-	20	22	19	17	20	15	17	14	20	11	14	16
Blinds Dandenong		-	-	-	-	-	19	-	-	-	-	19	18	25	28	21	20	27	23	20	20	24	27	53	34	30	33	38	38	49
Blinds Mornington Peninsula		-	-	-	-	-	-	-	23	23	25	21	26	33	36	27	28	24	21	26	26	28	29	46	39	37	36	36	36	35
Blinds Epping		-	-	-	-	-	-	-	-	-	69	22	20	29	26	31	30	27	27	28	28	-	51	49	33	31	28	37	20	22
Blinds Rosebud		-	-	-	-	-	-	89	9	11	10	9	10	11	18	22	26	20	22	17	17	15	13	17	17	15	14	13	12	16
Blinds Moorabbin		-	-	-	-	-	13	75	15	76	54	15	15	15	15	15	16	17	16	17	18	17	15	17	15	14	12	9	9	14
Blinds Frankston		-	-	-	-	-	22	-	28	24	26	21	16	29	27	28	29	26	23	23	25	24	28	31	34	27	38	32	34	31
Blinds Traralgon		-	-	-	-	-	-	-	9	9	8	9	10	10	16	16	14	14	20	21	19	9	13	15	-	26	16	14	12	13
Blinds Brighton		-	-	-	-	-	22	22	15	17	-	15	16	20	21	22	20	27	25	25	23	27	34	44	44	41	42	46	34	34
Blinds Clayton		-	-	-	-	-	-	-	-	11	11	12	10	18	23	19	17	14	17	16	16	17	15	15	12	11	11	13	14	15
Blinds Doncaster		-	-	-	-	-	83	14	14	96	10	12	10	24	14	20	23	21	16	21	17	17	21	21	28	18	15	13	11	17
Curtains Drouin		-	-	-	-	-	-	-	-	-	4	5	4	4	5	5	5	5	4	4	5	4	9	10	10	5	8	5	4	6
Curtains Warrigal		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	12	12	9	13
Blinds Drouin		-	-	-	-	-	-	-	-	-	6	6	6	6	11	9	8	8	12	11	11	12	15	16	11	10	10	9	6	8
Blinds Warrigal		-	-	-	-	-	-	-	-	-	13	10	8	10	13	11	7	7	8	7	6	5	6	7	7	5	10	13	8	14
blinds mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	15	12	10	10	12	12	9	6	5	1	2	2
curtains mount waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	11	11	10	10	8	9	8	4	5	3	2	2
blinds glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	13	13	12	11	15	14	14	12	8	8	10	13
curtains glen waverley		-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	8	9	7	6	7	6	9	7	5	4	5	10
